	fet_p_value_and_ratio
CD00000892_T109;CD00000892_T121;CD00000892_T168;CD00000892_T240:cod_liver_oil	323.0051853474518
CD00001983_T109;CD00001983_T121;CD00001983_T777:Extracts,_Liver	323.0051853474518
CD00336939_T200:Glucose_Injection	323.0051853474518
CD00352601_T330:Glucose-6-Phosphate	323.0051853474518
CDM00000517_T109;CDM00000517_T121;CDM00000517_T123;CDM00000517_T240;CDM00000517_T777:6-(hydroxymethyl)oxane-2,3,4,5-tetrol	322.99400519185593
CD00037518_T121;CD00037518_T197:isotonic_sodium_chloride	322.99241936747126
CD00004441_T109;CD00004441_T121;CD00004441_T130:3-o-methyl-d-glucose	322.9532543797666
CD00001041_T109;CD00001041_T121;CD00001041_T334:2-Deoxy-D-arabino-hexose	322.87549519631995
CDM00000169_T109;CDM00000169_T121;CDM00000169_T225;CDM00000169_T777:(AlphaS)-N,alpha-dimethylphenethylamine	322.8115373533183
CD00006898_T109;CD00006898_T195:1-(2-chloroethyl)-1-nitroso-3-(D-glucos-2-yl)urea	322.80608356847506
CDM00000816_T109;CDM00000816_T121;CDM00000816_T123:1-Propanone,_1-(2-(beta-D-glucopyranosyloxy)-4,6-dihydroxyphenyl)-3-(4-hydroxyphenyl)-	322.7887316297221
CD00006121_T109;CD00006121_T121;CD00006121_T330:3-Phenyl-1H-naphtho[2,1-b]pyran-1-one	322.7856177729218
CDM00000390_T109;CDM00000390_T121;CDM00000390_T225:(5Alpha,6Alpha)-7,8-Didehydro-4,5-Epoxy-3-Ethoxy-17-Methylmorphinan-6-Ol	322.6996009109868
CD00003140_T109;CD00003140_T121;CD00003140_T130:4,5,6,7-Tetrabromo-3',3''-Disulfophenolphthalein	322.6839519656995
CD00001526_T109;CD00001526_T121:glucans	322.6720024534263
CD00353092_T221;CD00353092_T777:fructose	322.67107315705925
CD00028024_T109;CD00028024_T121;CD00028024_T130:bromsulphalein	322.62438549781376
CD00356207_T777:aflatoxin_b1	322.61478491153827
CDM00000662_T109;CDM00000662_T121;CDM00000662_T220;CDM00000662_T777:1,1-Dimethylbiguanide	322.61156010737335
CD00000209_T109;CD00000209_T121;CD00000209_T242;CD00000209_T777:1,5-Dimethyl-4-dimethylamino-2-phenyl-3-pyrazolone	322.60825650217464
CDM00000928_T109;CDM00000928_T121;CDM00000928_T777:Compounds,_Sulfonylurea	322.60724533877976
CD00355657_T231;CD00355657_T777:Cardio-Green	322.60306485969437
CDM00000956_T116;CDM00000956_T129;CDM00000956_T121;CDM00000956_T126;CDM00000956_T231:Activity,_Glomerular_Procoagulant	322.5915315225729
CD00352391_T334:D-(+)-maltose	322.58899011476603
CD00002386_T109;CD00002386_T121;CD00002386_T123;CD00002386_T334:4-Pyrimidinecarboxylic_acid,_1,2,3,6-tetrahydro-2,6-dioxo-	322.5884572719144
CD00008633_T109;CD00008633_T121:beta-D-Fructofuranose,_2,6-bis(dihydrogen_phosphate)	322.5841282188687
CDM00000516_T116;CDM00000516_T121;CDM00000516_T125;CDM00000516_T220;CDM00000516_T777;CDM00000516_T109:antidiabetic_hormone	322.5783404912554
CD00355662_T220:Xylose	322.55906258354116
CD00356254_T777:methylcholanthrene	322.55203829931844
CD00094325_T109;CD00094325_T121:pokeweed	322.5482114372071
CD00008634_T109;CD00008634_T121;CD00008634_T123;CD00008634_T330:1,6-di-O-phosphono-D-fructose	322.5480883070361
CD00015087_T109;CD00015087_T121:1,2,4-Benzenetriol,_5-(2-aminoethyl)-	322.54690501006195
CD00356293_T777:xenobiotics	322.5403450250957
CD00353762_T330:Aminobenzene	322.5395358236727
CDM00000486_T109;CDM00000486_T121;CDM00000486_T240;CDM00000486_T777:Adofen	322.5384307935395
CDM00000961_T109;CDM00000961_T121;CDM00000961_T231;CDM00000961_T777:1-Butyl-3-(P-methylphenylsulfonyl)urea	322.5346178801038
CD00003474_T109;CD00003474_T121;CD00003474_T330;CD00003474_T231;CD00003474_T777:d-xylitol	322.5341552792847
CDM00000216_T121;CDM00000216_T127;CDM00000216_T237;CDM00000216_T777;CDM00000216_T109:25_hydroxycholecalciferol	322.52982593888845
CD00350972_T220;CD00350972_T777:Diethylenetriaminepentaacetic_acid_dimeglumine_salt_gadolinium_chelate	322.52452769469846
CD00356269_T777:dihydronicotinamide_adenine_dinucleotide_phosphate	322.5205281251786
CD00001898_T109;CD00001898_T121:2-Carboxy-4-isopropenyl-3-pyrrolidineacetic_Acid	322.51858235647916
CDM00000915_T109;CDM00000915_T195;CDM00000915_T231;CDM00000915_T777:2-deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose	322.5183995427854
CD00006922_T109;CD00006922_T121;CD00006922_T123;CD00006922_T220;CD00006922_T777:acid_cholic	322.5177170998875
CD00356238_T777:fructose_1,6_bisphosphate	322.5103938205502
CD00355846_T231;CD00355846_T777:galactose	322.4992199442663
CD00356216_T777:bilirubin	322.49703817657905
CD00003194_T109;CD00003194_T121;CD00003194_T131:2,3,7,8-Tetrachlorodibenzo[b,e][1,4]dioxin	322.48814673954325
CDM00001670_T121;CDM00001670_T777:5_HT_UPTAKE_INHIB	322.48588332702184
CDM00000270_T109;CDM00000270_T121;CDM00000270_T123;CDM00000270_T220;CDM00000270_T777;CDM00000270_T231:3,7-Dihydroxycholan-24-oic_acid	322.48301114194845
CD00000303_T121;CD00000303_T777:Agents,_Antidepressive	322.4798755694327
CDM00001009_T116;CDM00001009_T121;CDM00001009_T123;CDM00001009_T231:Coagulation_Factor_VIII_VWF	322.4699769161779
CD00351152_T330:Phosphoenolpyruvate	322.4681929643663
CD00003056_T109;CD00003056_T121;CD00003056_T220;CD00003056_T777:d-glucitol	322.4550705842258
CDM00000684_T109;CDM00000684_T121;CDM00000684_T230;CDM00000684_T777:2,4-Dioxo-3,3-diethyl-5-methylpiperidine	322.4509049760723
CD00356225_T777:corn_oil	322.44610091157256
CDM00007430_T116;CDM00007430_T121;CDM00007430_T123;CDM00007430_T231;CDM00007430_T777:human_insulin-like_growth_factor_I	322.4453341288668
CD00002034_T109;CD00002034_T121;CD00002034_T550:Carubinose	322.44394803245245
CD00355894_T231:Gadolinium	322.4404304946932
CDM00000572_T116;CDM00000572_T121;CDM00000572_T125;CDM00000572_T231:High_molecular_weight_insulin_human	322.43720989045045
CDM00000120_T121:Agents,_Tricyclic_Antidepressive	322.42664816092724
CDM00000513_T109;CDM00000513_T121;CDM00000513_T220;CDM00000513_T777:1-(p-(2-(5-chloro-2-methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea	322.42251442485093
CD00355863_T550:Creatinine	322.42126183254305
CDM00000781_T116;CDM00000781_T121;CDM00000781_T125;CDM00000781_T231;CDM00000781_T777:(1-34)-Human_Parathyroid_Hormone	322.4210587698242
CD00350947_T232:5-L-Glutamyl-L-cysteinylglycine	322.4176367447485
CD00002189_T121:mitogens	322.4156820466342
CDM00000218_T109;CDM00000218_T121;CDM00000218_T127;CDM00000218_T237;CDM00000218_T777;CDM00000218_T125;CDM00000218_T200:1,25-DHCC	322.39016493114553
CDM00000099_T109;CDM00000099_T121;CDM00000099_T125;CDM00000099_T331:4_Androstene_3,17_dione	322.38943998637785
CDM00000540_T129;CDM00000540_T242;CDM00000540_T121;CDM00000540_T116;CDM00000540_T109:antigen_australia	322.3843593496568
