	fet_p_value_and_ratio
CD00002496_T109;CD00002496_T121:5H-Tetrazolo(1,5-a)azepine,_6,7,8,9-tetrahydro-	322.7811523795756
CDM00000123_T121;CDM00000123_T777:Agents,_Antiepileptic	322.70122472646284
CD00000340_T121;CD00000340_T777:Agents,_Antihypertensive	322.6740049889746
CDM00000700_T109;CDM00000700_T121;CDM00000700_T231;CDM00000700_T777:2,3-Dihydro-3-hydroxy-2-imino-6-(1-piperidinyl)-4-pyrimidinamine	322.65718278924874
CDM00000611_T109;CDM00000611_T121;CDM00000611_T220;CDM00000611_T777:3-Carboxamido-4-hydroxy-alpha-((1-methyl-3-phenylpropylamino)methyl)benzyl_alcohol	322.649380669212
CDM00000417_T116;CDM00000417_T121;CDM00000417_T240;CDM00000417_T777;CDM00000417_T220;CDM00000417_T109:1-(N-((S)-1-Carboxy-3-phenylpropyl)-L-alanyl)-L-proline_1'-ethyl_ester	322.6488862631456
CDM00000103_T121;CDM00000103_T777:ACE_INHIB	322.5849893339595
CD00002839_T109;CD00002839_T121:2-(1-Piperazinyl)quinoline	322.5647573327839
CDM00000287_T109;CDM00000287_T121;CDM00000287_T220;CDM00000287_T777;CDM00000287_T234:1-keto-3-(3'-Sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline	322.55260703380964
CD00002941_T116;CD00002941_T121;CD00002941_T550:1_Sar_8_Ala_Angiotensin_II	322.5497547901436
CD00002115_T109;CD00002115_T121;CD00002115_T330:Carbamic_acid,_(((8beta)-1,6-dimethylergolin-8-yl)methyl)-,_phenylmethyl_ester	322.5307532312429
CDM00000556_T109;CDM00000556_T121;CDM00000556_T220;CDM00000556_T777:1(2H)-Phthalazinone,_hydrazone	322.5189354975336
CDM00000486_T109;CDM00000486_T121;CDM00000486_T240;CDM00000486_T777:Adofen	322.5098641135847
CD00000302_T121:Agents,_Anticonvulsive	322.5076742794878
CDM00000848_T109;CDM00000848_T121;CDM00000848_T240;CDM00000848_T777;CDM00000848_T330:1,6-di-(4-amidinophenoxy)hexane	322.5054464056797
CDM00000678_T116;CDM00000678_T121;CDM00000678_T220;CDM00000678_T777;CDM00000678_T109;CDM00000678_T123:3-Hydroxy-alpha-methyl-L-tyrosine	322.5019964466486
CDM00000151_T109;CDM00000151_T121;CDM00000151_T220;CDM00000151_T777:1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol	322.48995362127323
CD00003047_T109;CD00003047_T121:2-Propylpentanoic_Acid_Sodium_Salt	322.48730960678046
CDM00000901_T121;CDM00000901_T777:5_HT_ANTAG	322.482472395066
CDM00000426_T109;CDM00000426_T121;CDM00000426_T220;CDM00000426_T777:(6aR,9R)-7-Methyl-4,6,6a,7,8,9-hexahydro-indolo[4,3-fg]quinoline-9-carboxylic_acid_((S)-2-hydroxy-1-methyl-ethyl)-amide	322.47605765289444
CD00001914_T109;CD00001914_T121;CD00001914_T550;CD00001914_T777:2,4(1H,3H)-Quinazolinedione,_3-(2-(4-(4-fluorobenzoyl)-1-piperidinyl)ethyl)-	322.4697074681934
CDM00000235_T109;CDM00000235_T121;CDM00000235_T231;CDM00000235_T777:5-Carbamoyl-5H-dibenz(b,f)azepine	322.4416738375604
CDM00000996_T109;CDM00000996_T121;CDM00000996_T231;CDM00000996_T777:2-n-propyl-n-valeric_acid	322.43651614933367
CD00356081_T777:Analgesics	322.3961525885149
CD00356247_T777:hydroxytryptamine	322.39539071992596
CDM00000006_T116;CDM00000006_T121;CDM00000006_T123;CDM00000006_T232;CDM00000006_T109:2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic_acid	322.3883196840852
CDM00000429_T109;CDM00000429_T121;CDM00000429_T231;CDM00000429_T777:1-(1H-Indol-4-yloxy)-3-((1-methylethyl)amino)-2-propanol	322.38180802212315
CD00000303_T121;CD00000303_T777:Agents,_Antidepressive	322.37732047060405
CDM00000685_T109;CDM00000685_T121;CDM00000685_T220;CDM00000685_T777:1-Methyl-dextro-lysergic_acid_(+)-1-hydroxy-2-butylamide	322.35373570149176
CDM00000173_T109;CDM00000173_T121;CDM00000173_T777;CDM00000173_T231:1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol	322.3468807696917
CDM00000102_T116;CDM00000102_T121;CDM00000102_T123;CDM00000102_T231;CDM00000102_T777;CDM00000102_T125:2_angiotensin	322.3463125966257
CDM00000420_T121;CDM00000420_T777:drug_enzyme_inhibitors	322.34334826266274
CDM00000040_T121;CDM00000040_T777:ADREN_BETA_ANTAG	322.3431048310696
CDM00000120_T121:Agents,_Tricyclic_Antidepressive	322.3306843889803
CD00001054_T109;CD00001054_T121;CD00001054_T125:11_Decorticosterone	322.3250009718435
CD00355609_T551:3-(2-Aminoethyl)-1H-indol-5-ol	322.32017409291814
CD00000137_T109;CD00000137_T121;CD00000137_T125;CD00000137_T334;CD00000137_T777:11beta,21-Dihydroxy-3,20-diketo-4-pregnen-18-al	322.31619133609894
CD00356080_T777:Allergens	322.3151799146967
CDM00000281_T109;CDM00000281_T121;CDM00000281_T240;CDM00000281_T777:2H-1,2,4-Benzothiadiazine-7-sulfonamide,_6-chloro-,_1,1-dioxide	322.3059524131959
CD00001202_T121;CD00001202_T777:[CV700]_DIURETICS	322.2768541950603
CDM00000555_T109;CDM00000555_T121;CDM00000555_T777;CDM00000555_T240:2,4-Imidazolidinedione,_5,5-diphenyl-	322.25370941019463
CDM00001186_T109;CDM00001186_T121;CDM00001186_T231;CDM00001186_T777:1-Methyl-4-hydroxypiperidine_benzhydryl_ether	322.2485428477758
CDM00000083_T109;CDM00000083_T121;CDM00000083_T220;CDM00000083_T777:10,11-dihydro-5-(gamma-Dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene	322.24817787499325
CD00000525_T109;CD00000525_T121;CD00000525_T330:6-(5,6,7,8-Tetrahydro-6-methyl-1,3-dioxolo(4,5-g)isoquinolin-5-yl)furo(3,4-e)1,3-benzodioxol-8(6H)one	322.2478103366369
CDM00000843_T109;CDM00000843_T121;CDM00000843_T220;CDM00000843_T777:1-(4-amino-6,7-dimethoxy-2-quinazolinyl)-4-(2-furanylcarbonyl)piperazine	322.2135330692373
CDM00001000_T121:Agents,_Vasodilator	322.1995379234818
CDM00000220_T121;CDM00000220_T777:agents_blocking_calcium_channel	322.15892027624767
CDM00000562_T121;CDM00000562_T777:agent_anti_anxiety	322.15624018549227
CDM00000307_T109;CDM00000307_T121;CDM00000307_T220;CDM00000307_T777;CDM00000307_T200:1H-Imidazol-2-amine,_N-(2,6-dichlorophenyl)-4,5-dihydro-	322.15101531311
CDM00000734_T109;CDM00000734_T121;CDM00000734_T220;CDM00000734_T777:3,5-Pyridinedicarboxylic_acid,_1,4-dihydro-2,6-dimethyl-4-(2-nitrophenyl)-,_dimethyl_ester	322.14600814504183
CDM00000394_T109;CDM00000394_T121;CDM00000394_T220;CDM00000394_T777:2,2',2'',2''''-[(4,8-Dipiperidinopyrimido-[5,4-d]pyrimidine-2,6-diyl)dinitrilo]tetraethanol	322.145427234509
CDM00000086_T109;CDM00000086_T121;CDM00000086_T220;CDM00000086_T777;CDM00000086_T234;CDM00000086_T231:2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine	322.13198934597636
CD00355635_T234;CD00355635_T777:carbon_dioxide	322.084121341959
CDM00000998_T121:Agents,_Vasoconstrictor	322.068439033237
CDM00000686_T109;CDM00000686_T121;CDM00000686_T231;CDM00000686_T777:2-methoxy-4-amino-5-chloro-N,N-(dimethylaminoethyl)benzamide	322.0393499232821
