	fet_p_value_and_ratio
CD00037518_T121;CD00037518_T197:isotonic_sodium_chloride	322.99418996315035
CDM00000123_T121;CDM00000123_T777:Agents,_Antiepileptic	322.7671181492662
CDM00001275_T109;CDM00001275_T121;CDM00001275_T231;CDM00001275_T777:3,5-diamino-6-(2,3-dichlorophenyl)-1,2,4-triazine	322.7070864842769
CDM00001032_T116;CDM00001032_T121;CDM00001032_T123;CDM00001032_T220;CDM00001032_T777:4-Amino-5-hexenoic_acid	322.6560292839706
CDM00000446_T109;CDM00000446_T121;CDM00000446_T220;CDM00000446_T777:2,5-Pyrrolidinedione,_3-ethyl-3-methyl-	322.54061683020547
CD00094325_T109;CD00094325_T121:pokeweed	322.5379731831034
CDM00000216_T121;CDM00000216_T127;CDM00000216_T237;CDM00000216_T777;CDM00000216_T109:25_hydroxycholecalciferol	322.52969831660556
CDM00001670_T121;CDM00001670_T777:5_HT_UPTAKE_INHIB	322.5257144324548
CD00003047_T109;CD00003047_T121:2-Propylpentanoic_Acid_Sodium_Salt	322.5087448569531
CD00000303_T121;CD00000303_T777:Agents,_Antidepressive	322.5087154290896
CDM00000996_T109;CDM00000996_T121;CDM00000996_T231;CDM00000996_T777:2-n-propyl-n-valeric_acid	322.4758860810671
CDM00000915_T109;CDM00000915_T195;CDM00000915_T231;CDM00000915_T777:2-deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose	322.4733479895848
CDM00000235_T109;CDM00000235_T121;CDM00000235_T231;CDM00000235_T777:5-Carbamoyl-5H-dibenz(b,f)azepine	322.4715623277249
CDM00000848_T109;CDM00000848_T121;CDM00000848_T240;CDM00000848_T777;CDM00000848_T330:1,6-di-(4-amidinophenoxy)hexane	322.46687549889253
CDM00000120_T121:Agents,_Tricyclic_Antidepressive	322.4549569943967
CDM00001009_T116;CDM00001009_T121;CDM00001009_T123;CDM00001009_T231:Coagulation_Factor_VIII_VWF	322.4502166037065
CD00000302_T121:Agents,_Anticonvulsive	322.43963465222174
CDM00007430_T116;CDM00007430_T121;CDM00007430_T123;CDM00007430_T231;CDM00007430_T777:human_insulin-like_growth_factor_I	322.43398584216794
CDM00001364_T109;CDM00001364_T121;CDM00001364_T231;CDM00001364_T777:(−)-(3S,4R)-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine	322.4247914804599
CDM00000781_T116;CDM00000781_T121;CDM00000781_T125;CDM00000781_T231;CDM00000781_T777:(1-34)-Human_Parathyroid_Hormone	322.4223565493237
CD00355863_T550:Creatinine	322.41508523395004
CDM00000750_T109;CDM00000750_T121;CDM00000750_T220;CDM00000750_T777:10,11-dihydro-N-Methyl-5H-dibenzo[a,D]cycloheptene-delta(5,gamma)-propylamine	322.4076876835473
CD00002189_T121:mitogens	322.40306751574525
CD00355318_T330:(+)-fluoxetine	322.3887559535156
CD00355385_T330:(−)-fluoxetine	322.3887559535156
CDM00000218_T109;CDM00000218_T121;CDM00000218_T127;CDM00000218_T237;CDM00000218_T777;CDM00000218_T125;CDM00000218_T200:1,25-DHCC	322.38716001531736
CDM00000099_T109;CDM00000099_T121;CDM00000099_T125;CDM00000099_T331:4_Androstene_3,17_dione	322.3852615263472
CD00356284_T777:thyroid_hormones	322.3747069166875
CD00000137_T109;CD00000137_T121;CD00000137_T125;CD00000137_T334;CD00000137_T777:11beta,21-Dihydroxy-3,20-diketo-4-pregnen-18-al	322.37265495083585
CD00356285_T777:thyroxine	322.36797105976206
CD00003240_T116;CD00003240_T121;CD00003240_T125;CD00003240_T242;CD00003240_T777:tg_thyroglobulin	322.3465750309147
CDM00000908_T116;CDM00000908_T121;CDM00000908_T125;CDM00000908_T231;CDM00000908_T777;CDM00000908_T220:BioTropin	322.34478180551434
CDM00000339_T116;CDM00000339_T121;CDM00000339_T777;CDM00000339_T125;CDM00000339_T240;CDM00000339_T109:3,3',5-triiodo-L-thyronine	322.3447406483884
CDM00000562_T121;CDM00000562_T777:agent_anti_anxiety	322.34278199055825
CDM00000136_T116;CDM00000136_T121;CDM00000136_T220:antithrombin_iii	322.3387287469383
CDM00000868_T116;CDM00000868_T121;CDM00000868_T123;CDM00000868_T220;CDM00000868_T777;CDM00000868_T236;CDM00000868_T200:Activated_protein_C	322.3377059123836
CDM00000558_T109;CDM00000558_T121;CDM00000558_T125;CDM00000558_T240;CDM00000558_T777;CDM00000558_T116;CDM00000558_T231;CDM00000558_T195:(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione	322.327879514468
CDM00000206_T109;CDM00000206_T121;CDM00000206_T231;CDM00000206_T777;CDM00000206_T220:(+-)-1-(3-Chlorophenyl)-2-((1,1-dimethylethyl)amino)-1-propanone	322.32052737513357
CDM00000348_T109;CDM00000348_T121;CDM00000348_T125;CDM00000348_T232;CDM00000348_T550;CDM00000348_T777;CDM00000348_T123;CDM00000348_T231:17-Hormoforin	322.3146116937781
CD00000248_T121;CD00000248_T125:Agents,_Androgenic	322.3074389959053
CDM00000425_T109;CDM00000425_T121;CDM00000425_T127;CDM00000425_T237;CDM00000425_T238;CDM00000425_T777;CDM00000425_T225:2H-1,4-Benzodiazepine-2-thione,_7-chloro-5-(2-fluorophenyl)-1,3-dihydro-1-(2,2,2-trifluoroethyl)-	322.30731579426725
CDM00000527_T116;CDM00000527_T121;CDM00000527_T125;CDM00000527_T777:gonadotrophic_hormone	322.30284266889885
CDM00000683_T109;CDM00000683_T121;CDM00000683_T125;CDM00000683_T220;CDM00000683_T777;CDM00000683_T231;CDM00000683_T240:17alpha-Methyl-3-oxo-4-androsten-17beta-ol	322.3016015968114
CDM00000457_T116;CDM00000457_T121;CDM00000457_T123;CDM00000457_T777;CDM00000457_T220;CDM00000457_T231;CDM00000457_T200:Advate	322.2997744707922
CDM00001549_T116;CDM00001549_T121;CDM00001549_T129;CDM00001549_T231;CDM00001549_T777;CDM00001549_T109:Anti-CD3	322.2964571798955
CDM00000523_T116;CDM00000523_T121;CDM00000523_T125;CDM00000523_T220;CDM00000523_T240;CDM00000523_T777;CDM00000523_T109:alfa_follitropin	322.2947503927342
CDM00001503_T116;CDM00001503_T129;CDM00001503_T220;CDM00001503_T777;CDM00001503_T121;CDM00001503_T231;CDM00001503_T109:23-L-Leucinecolony-Stimulating_Factor_2	322.290618439134
CDM00000528_T116;CDM00000528_T121;CDM00000528_T125;CDM00000528_T240;CDM00000528_T777;CDM00000528_T220;CDM00000528_T109:a_p_l	322.2883841157788
CDM00000619_T116;CDM00000619_T121;CDM00000619_T125;CDM00000619_T234;CDM00000619_T777:5-Oxo-L-Prolyl-L-Histidyl-L-Tryptophyl-L-Seryl-L-Tyrosyl-D-Tryptophyl-N-Methyl-L-Leucyl-L-Arginyl-N-Ethyl-L-Prolinamide_Monoacetate	322.2862041480128
CDM00000555_T109;CDM00000555_T121;CDM00000555_T777;CDM00000555_T240:2,4-Imidazolidinedione,_5,5-diphenyl-	322.282434466312
CDM00000431_T116;CDM00000431_T121;CDM00000431_T125;CDM00000431_T220;CDM00000431_T777;CDM00000431_T231:1-165-Erythropoietin_(human_clone_lambdaHEPOFL13_protein_moiety),_glycoform_alpha	322.2811648973949
CDM00000577_T116;CDM00000577_T129;CDM00000577_T777;CDM00000577_T121;CDM00000577_T220;CDM00000577_T109:125-L-Serine-2-133-interleukin_2	322.27832173035296
CD00000363_T121;CD00000363_T777:Agents,_Antiparkinson	322.2775804861556
CDM00000516_T116;CDM00000516_T121;CDM00000516_T125;CDM00000516_T220;CDM00000516_T777;CDM00000516_T109:antidiabetic_hormone	322.2746932740063
CDM00000056_T116;CDM00000056_T121;CDM00000056_T123;CDM00000056_T220;CDM00000056_T777;CDM00000056_T129;CDM00000056_T200:1_alpha_antitrypsin	322.274454328068
CD00001717_T116;CD00001717_T121;CD00001717_T123;CD00001717_T221:4-Hydroxy-L-proline	322.2723295432651
CDM00000411_T109;CDM00000411_T121;CDM00000411_T220;CDM00000411_T777;CDM00000411_T116;CDM00000411_T231:(1,2-Dihydroxy-3-propyl)thiophyllin	322.26693344938803
CD00002977_T121;CD00002977_T125:gonadal_steroid_hormone	322.2646483824809
CDM00000125_T116;CDM00000125_T129:antigen_antibody_complex	322.2633986082057
CD00015091_T121;CD00015091_T197:Carbonate,_Dilithium	322.26316925057256
CDM00000306_T109;CDM00000306_T121;CDM00000306_T225;CDM00000306_T777:1,3-dihydro-7-Nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one	322.26087970249785
CDM00000505_T116;CDM00000505_T129;CDM00000505_T121;CDM00000505_T231;CDM00000505_T777:7S_Gamma_Globulin	322.2607128894077
CD00350949_T232;CD00350949_T777:alpha-Methylguanidino_acetic_acid	322.25963866240494
CDM00000579_T116;CDM00000579_T129;CDM00000579_T550;CDM00000579_T777;CDM00000579_T121:207137-56-2	322.25426450061065
CDM00000083_T109;CDM00000083_T121;CDM00000083_T220;CDM00000083_T777:10,11-dihydro-5-(gamma-Dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene	322.2526453794067
CDM00000118_T116;CDM00000118_T129;CDM00000118_T777;CDM00000118_T200;CDM00000118_T121:Antibodies_Antineoplastics,_Monoclonal	322.2511424478904
CDM00000468_T116;CDM00000468_T121;CDM00000468_T123;CDM00000468_T220;CDM00000468_T777:BLOOD_COAG_FACTOR_I	322.2442886698704
CD00002961_T121;CD00002961_T123;CD00002961_T196;CD00002961_T234;CD00002961_T777:Se	322.24387268382714
CD00356286_T777:triglycerides	322.2403488885744
CD00353689_T550:Alkaline_Phosphatase	322.23905276282613
CD00356216_T777:bilirubin	322.23799542840516
CDM00000182_T109;CDM00000182_T121;CDM00000182_T127;CDM00000182_T232;CDM00000182_T777:1H-Thieno(3,4-d)imidazole-4-pentanoic_acid,_hexahydro-2-oxo-,_(3aS-(3aalpha,4beta,6aalpha))-	322.2357246218054
CDM00000656_T109;CDM00000656_T121;CDM00000656_T225;CDM00000656_T777:1,3-Propanediol,_2-methyl-2-propyl-,_dicarbamate	322.22571799520233
CDM00000517_T109;CDM00000517_T121;CDM00000517_T123;CDM00000517_T240;CDM00000517_T777:6-(hydroxymethyl)oxane-2,3,4,5-tetrol	322.2248522232945
CDM00000086_T109;CDM00000086_T121;CDM00000086_T220;CDM00000086_T777;CDM00000086_T234;CDM00000086_T231:2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine	322.2082274009489
CD00353334_T334:2'-Deoxythymidine	322.20558438199697
CD00356232_T777:electrolytes	322.2039847821544
CDM00000525_T109;CDM00000525_T121;CDM00000525_T123:gag(glycosaminoglycan)	322.2029389248384
CDM00000501_T109;CDM00000501_T121;CDM00000501_T240;CDM00000501_T777;CDM00000501_T197:2-Furfurylamino-4-chloro-5-sulfamoylbenzoic_acid	322.20148196972167
CDM00000869_T116;CDM00000869_T121;CDM00000869_T123;CDM00000869_T231;CDM00000869_T220;CDM00000869_T777:BLOOD_COAG_FACTOR_II	322.2010565832286
CD00000881_T116;CD00000881_T121;CD00000881_T126;CD00000881_T231;CD00000881_T777:AA4500	322.1984559605138
CDM00000042_T116;CDM00000042_T121;CDM00000042_T125;CDM00000042_T234;CDM00000042_T777;CDM00000042_T109:1-39_ACTH	322.1966090826991
CDM00000575_T116;CDM00000575_T121;CDM00000575_T129;CDM00000575_T231;CDM00000575_T777:1b_gamma_interferon	322.19470843188026
CD00355622_T231:Somatostatin	322.19222843723304
CDM00000350_T109;CDM00000350_T121;CDM00000350_T777;CDM00000350_T220;CDM00000350_T234;CDM00000350_T116;CDM00000350_T195:(11Beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	322.1864993060756
CDM00000054_T109;CDM00000054_T121;CDM00000054_T125;CDM00000054_T220;CDM00000054_T777;CDM00000054_T240;CDM00000054_T231;CDM00000054_T200:17-((1-oxohexyl)oxy)pregn-4-ene-3,20-dione	322.18605254088766
CD00356185_T777:Thyroid	322.1789253503274
CD00000318_T129:antigens	322.1761393826286
CDM00000542_T109;CDM00000542_T121;CDM00000542_T242;CDM00000542_T777:2,2',3,3',5,5'-hexachloro-6,6'-dihydroxydiphenylmethane	322.1726069658887
CDM00000102_T116;CDM00000102_T121;CDM00000102_T123;CDM00000102_T231;CDM00000102_T777;CDM00000102_T125:2_angiotensin	322.17256917023906
CDM00000569_T116;CDM00000569_T121;CDM00000569_T129;CDM00000569_T777:antisera	322.17231423212303
CDM00000614_T109;CDM00000614_T121;CDM00000614_T127;CDM00000614_T220;CDM00000614_T777;CDM00000614_T231;CDM00000614_T550:10-Formyl-7,8-dihydrofolic_acid	322.16749688935437
CDM00000740_T121;CDM00000740_T123;CDM00000740_T197;CDM00000740_T220;CDM00000740_T777;CDM00000740_T240;CDM00000740_T231:Amidogen,_oxo-	322.1668486378622
