target	fet_p_value_and_ratio
CD00057963_T200:coughing_syrups	323.0051853474518
CDM00021213_T109;CDM00021213_T121;CDM00021213_T220;CDM00021213_T777:3-quinolinecarboxamide,_N-(2,4-bis(1,1-dimethylethyl)-5-hydroxyphenyl)-1,4-dihydro-4-oxo-	322.96901889241224
CDM00021150_T109;CDM00021150_T121;CDM00021150_T777;CDM00021150_T220:3-(6-{[1-(2,2-difluoro-2H-1,3-benzodioxol-5-yl)cyclopropane-1-carbonyl]amino}-3-methylpyridin-2-yl)benzoic_acid	322.96527309293253
CD00209743_T109;CD00209743_T121;CD00209743_T220:(3-Carbamoyl-3,3-diphenylpropyl)ethyldimethylammonium	322.96303889673226
CD00315725_T109;CD00315725_T121;CD00315725_T231;CD00315725_T777:5H-benzo(b)carbazole-3-carbonitrile,_9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-	322.92305426647533
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.9082753344437
CDM00022993_T109;CDM00022993_T121;CDM00022993_T220;CDM00022993_T777:2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-_isopropylsulfonyl)phenyl)_pyrimidine-2,4-diamine	322.90486908575184
CDM00024450_T109;CDM00024450_T121;CDM00024450_T220;CDM00024450_T777:mereletinib	322.9045948507054
CDM00001723_T109;CDM00001723_T121;CDM00001723_T220;CDM00001723_T777:7-((hydroxybis(2-thienyl)acetyl)oxy)-9,9-dimethyl-3-oxa-9-azoniatricyclo(3.3.1.0(2,4))nonane_bromide	322.8825671583749
CDM00020509_T109;CDM00020509_T121;CDM00020509_T220;CDM00020509_T777:2-Pyridinamine,_3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-	322.8727429746893
CD00229728_T109;CD00229728_T121;CD00229728_T220:4-{(1R)-2-[(6-{2-[(2,6-dichlorobenzyl)oxy]ethoxy}hexyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol	322.86913872958974
CD00002782_T109;CD00002782_T121;CD00002782_T123;CD00002782_T777:alveolar_surfactant	322.8533852200445
CD00304249_T116;CD00304249_T121;CD00304249_T129;CD00304249_T231:dupilumab	322.8446991617267
CDM00003349_T109;CDM00003349_T121;CDM00003349_T220;CDM00003349_T777:11-(3-(dimethylamino)propylidene)-6,11-dihydrodibenz(b,e)oxepin-2-acetic_acid	322.8344891202828
CD00125562_T109;CD00125562_T121;CD00125562_T240:Balsam_of_Peru	322.8278034649146
CDM00007386_T109;CDM00007386_T121;CDM00007386_T231;CDM00007386_T777:4-(3'-chloro-4'-Fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline	322.8096249109097
CDM00020588_T109;CDM00020588_T121;CDM00020588_T550;CDM00020588_T220;CDM00020588_T777:2-butenamide,_N-(4-((3-chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydro-3-furanyl)oxy)-_6-quinazolinyl)-4-(dimethylamino)-,_(2E)-	322.807513627886
CD00030168_T109;CD00030168_T121;CD00030168_T231:5-methyl-1-phenyl-2-(1H)-pyridone	322.80036993713423
CDM00022921_T109;CDM00022921_T121;CDM00022921_T234:Glycopyrrolate_cation	322.79820387537774
CD00100255_T109;CD00100255_T121;CD00100255_T220;CD00100255_T777:3-cyclopropylmethoxy-4-difluoromethoxy-N-(3,5-di-chloropyrid-4-yl)benzamide	322.7927132904311
CDM00010532_T109;CDM00010532_T121;CDM00010532_T231;CDM00010532_T777:[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine	322.78368788759036
CDM00001718_T109;CDM00001718_T121;CDM00001718_T231;CDM00001718_T777:231,514,_LY	322.7778336264721
CD00004806_T109;CD00004806_T121:5-chloro-2-methyl-4-isothiazolin-3-one	322.7687276440768
CD00004519_T109;CD00004519_T121:4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone	322.7639977254333
CD00229157_T109;CD00229157_T121;CD00229157_T220:Intedanib	322.7639940534203
CDM00010536_T129;CDM00010536_T220;CDM00010536_T121:American_house_dust_mite	322.75546300711125
CDM00001186_T109;CDM00001186_T121;CDM00001186_T231;CDM00001186_T777:1-Methyl-4-hydroxypiperidine_benzhydryl_ether	322.75361718206665
CDM00001079_T109;CDM00001079_T121;CDM00001079_T220;CDM00001079_T777:1(2H)-Phthalazinone,_4-((4-Chlorophenyl)methyl)-2-(hexahydro-1-methyl-1H-azepin-4-yl)-,_Monohydrochloride	322.7535675159373
CDM00010537_T129;CDM00010537_T220;CDM00010537_T121:AE-mite,_dermatophagoides_pteronyssinus	322.7513237715577
CDM00007392_T109;CDM00007392_T121:Artemisia_absinthium_homeopathic_preparation	322.73588107133116
CD00356080_T777:Allergens	322.73036797720806
CD00004166_T109;CD00004166_T121:2-Methyl-3(2H)-isothiazolone	322.72172471537635
CD00166712_T121;CD00166712_T129:Pneumococcal_Conjugate_Vaccine	322.7169390409517
CD00037392_T121;CD00037392_T130;CD00037392_T777:allergen_extract	322.713153009493
CD00157171_T129:Poison_ivy_antigen	322.69668878710246
CDM00006819_T109;CDM00006819_T121;CDM00006819_T777;CDM00006819_T231:15,19-Epoxy-3H-pyrido(2,1-c)(1,4)oxaazacyclotricosine-1,7,20,21(4H,23H)-tetrone,_3-((1E)-2-((1R,3R,4S)-4-chloro-3-methoxycyclohexyl)-1-methylethenyl)-8-ethyl-5,6,8,11,12,13,14,15,16,17,18,19,24,25,26,26a-hexadecahydro-5,19-dihydroxy-14,16-dimethoxy-4,10,12,18-tetramethyl-,(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-	322.6951072228104
CDM00001488_T109;CDM00001488_T121;CDM00001488_T231;CDM00001488_T777:3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine	322.6900676316135
CD00001156_T109;CD00001156_T121;CD00001156_T220;CD00001156_T777:1,2-Dimercapto-3-propanol	322.6881928785425
CDM00008115_T116;CDM00008115_T121;CDM00008115_T129;CDM00008115_T130;CDM00008115_T231;CDM00008115_T109:Allergenic_extract,_grass,_timothy	322.67412185990736
CD00087629_T109;CD00087629_T121:Ambrosia_artemisiifolia_homeopathic_preparation	322.6671878568251
CD00033735_T121;CD00033735_T129;CD00033735_T777:pneumococcal,_unspecified_formulation	322.66080322961363
CD00018456_T116;CD00018456_T126;CD00018456_T129:Dermatophagoides_pteronyssinus_antigen_p_1	322.6578198877221
CDM00007436_T109;CDM00007436_T121;CDM00007436_T231;CDM00007436_T777:5H-Benzo(5,6)cyclohepta(1,2-b)pyridine,_8-chloro-6,11-dihydro-11-(4-piperidinylidene)-	322.63987221104287
CD00010990_T121;CD00010990_T131;CD00010990_T197:Nickelous_Sulfate	322.63800063693793
CDM00015051_T109;CDM00015051_T195;CDM00015051_T777;CDM00015051_T220:Ketek	322.6282861864786
CD00030977_T121;CD00030977_T129:pneumococcal,_NOS	322.60563981206434
CDM00001130_T109;CDM00001130_T121;CDM00001130_T220;CDM00001130_T777:(2-(4-((4-Chlorophenyl)phenylmethyl)-1-piperazinyl)ethoxy)acetic_Acid	322.60509460118766
CDM00007729_T109;CDM00007729_T121;CDM00007729_T231;CDM00007729_T777:arformoterol	322.60423834222354
CD00355785_T221:Gum_turpentine	322.5951787580826
CDM00001224_T109;CDM00001224_T121;CDM00001224_T231;CDM00001224_T777:2'-Hydroxy-5'-(1-hydroxy-2-((P-methoxy-alpha-methylphenethyl)amino)ethyl)formanilide	322.59359922507025
CD00124751_T109;CD00124751_T121;CD00124751_T220:2-(2-{4-[(R)-(4-chlorophenyl)(phenyl)methyl]piperazin-1-yl}ethoxy)acetic_acid	322.5796045513213
CD00356231_T777:egfr_inhibitors	322.5787769123153
