target	fet_p_value_and_ratio
CDM00023884_T109;CDM00023884_T121;CDM00023884_T220;CDM00023884_T777:entresto	322.8976141513761
CD00356267_T777:qt-prolonging_drugs	322.7739782743269
CD00014109_T109;CD00014109_T121:WEB-2086	322.74751247194786
CDM00001544_T109;CDM00001544_T121;CDM00001544_T236;CDM00001544_T777:(+-)-2'-[2-(1-Methyl-2-piperidyl)ethyl]-P-anisanilide	322.74097255355633
CD00007298_T109;CD00007298_T121:CV_3988	322.71181506501176
CDM00000049_T121;CDM00000049_T777:ALDOSTERONE_ANTAG	322.68296605271786
CDM00001103_T116;CDM00001103_T121;CDM00001103_T125;CDM00001103_T231;CDM00001103_T777:1,2-Dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecaazacyclotripentacontane,_Cyclic_Peptide_Derivative	322.6642872416989
CDM00001763_T109;CDM00001763_T121;CDM00001763_T231;CDM00001763_T777;CDM00001763_T550:((4-(1,4,5,6-tetrahydro-4-methyl-6-oxo-3-pyridazinyl)phenyl)hydrazono)propanedinitrile	322.6626260745599
CD00236826_T109;CD00236826_T121;CD00236826_T220;CD00236826_T777:edoxaban	322.6418011783612
CDM00000834_T109;CDM00000834_T129;CDM00000834_T330;CDM00000834_T121:1_Alkyl_2_acetyl_sn_glycerophosphocholine	322.64064549996124
CDM00001597_T109;CDM00001597_T121;CDM00001597_T231;CDM00001597_T777:2H-Imidazol-2-one,_1,3-dihydro-4-methyl-5-(4-(methylthio)benzoyl)-	322.6374985751776
CD00027373_T109;CD00027373_T121;CD00027373_T220;CD00027373_T777:3-[3-({[(7S)-3,4-dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl]methyl}(methyl)amino)propyl]-7,8-dimethoxy-2,3,4,5-tetrahydro-1H-3-benzazepin-2-one	322.63666704777046
CD00124838_T109;CD00124838_T121;CD00124838_T220:7-chloro-5-hydroxy-1-(2-methyl-4-(2-methylbenzoylamino)benzoyl)2,3,4,5-tetrahydro-1H-1-benzazepine	322.63279944325217
CDM00001115_T109;CDM00001115_T121;CDM00001115_T231;CDM00001115_T777:(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol	322.63214802176407
CDM00009128_T109;CDM00009128_T121;CDM00009128_T231;CDM00009128_T777;CDM00009128_T200:alpha-D-Glucopyranoside,_methyl_O-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-beta-D-glucopyranuronosyl(1-4)-O-2-deoxy-3,6-di-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-2-O-sulfo-alpha-L-idopyranuronosyl-(1-4)-2-deoxy-2-(sulfoamino)-,_6-(hydrogen_sulfate)	322.6301985210393
