target	fet_p_value_and_ratio
CD00057963_T200:coughing_syrups	323.0051853474518
CDM00001852_T121;CDM00001852_T129;CDM00001852_T231;CDM00001852_T116:fever_vaccines_yellow	323.0051853474518
CDM00000571_T121;CDM00000571_T129;CDM00000571_T777;CDM00000571_T109:Flu_prevention	322.9783074321303
CD00181161_T109;CD00181161_T121;CD00181161_T231:(1S,2S,3R,4R)-3-((1S)-1-acetylamino-2-ethylbutyl))-4-((aminoiminomethyl)amino-2-hydroxycyclopentanecarboxylic_acid,_trihydrate	322.97086303311056
CD00297535_T121;CD00297535_T777:Neuraminidase_inhibitors	322.9693207494313
CDM00021213_T109;CDM00021213_T121;CDM00021213_T220;CDM00021213_T777:3-quinolinecarboxamide,_N-(2,4-bis(1,1-dimethylethyl)-5-hydroxyphenyl)-1,4-dihydro-4-oxo-	322.96901889241224
CDM00021150_T109;CDM00021150_T121;CDM00021150_T777;CDM00021150_T220:3-(6-{[1-(2,2-difluoro-2H-1,3-benzodioxol-5-yl)cyclopropane-1-carbonyl]amino}-3-methylpyridin-2-yl)benzoic_acid	322.96527309293253
CDM00001729_T109;CDM00001729_T121;CDM00001729_T231;CDM00001729_T777:2,3-Didehydro-2,4-Dideoxy-4-Guanidino-N-Acetyl-D-Neuraminic_Acid	322.9582311684077
CDM00007171_T109;CDM00007171_T121;CDM00007171_T777;CDM00007171_T220:1-Cyclohexene-1-carboxylic_acid,_4-(acetylamino)-5-amino-3-(1-ethylpropoxy)-,_ethyl_ester,_(3R-(3alpha,4beta,5alpha))-	322.9380867862027
CD00315725_T109;CD00315725_T121;CD00315725_T231;CD00315725_T777:5H-benzo(b)carbazole-3-carbonitrile,_9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-	322.92305426647533
CDM00022993_T109;CDM00022993_T121;CDM00022993_T220;CDM00022993_T777:2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-_isopropylsulfonyl)phenyl)_pyrimidine-2,4-diamine	322.90486908575184
CDM00024450_T109;CDM00024450_T121;CDM00024450_T220;CDM00024450_T777:mereletinib	322.9045948507054
CDM00000888_T109;CDM00000888_T121;CDM00000888_T231;CDM00000888_T777:1-(1-Adamantyl)ethylamin	322.90369677513917
CDM00023884_T109;CDM00023884_T121;CDM00023884_T220;CDM00023884_T777:entresto	322.8976141513761
CD00028057_T121:Agents,_Antiasthmatic	322.88521003037505
CDM00020509_T109;CDM00020509_T121;CDM00020509_T220;CDM00020509_T777:2-Pyridinamine,_3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-	322.8727429746893
CD00077104_T109;CD00077104_T195;CD00077104_T231:(+)-(7S,9S)-9-Acetyl-9-amino-7-((2-deoxy-beta-D-erythro-pentopyranosyl)oxy)-_6,11-dihydroxy-7,8,9,10-tetrahydrotetracene-5,12-dione	322.8596750849672
CD00002782_T109;CD00002782_T121;CD00002782_T123;CD00002782_T777:alveolar_surfactant	322.8533852200445
CD00304249_T116;CD00304249_T121;CD00304249_T129;CD00304249_T231:dupilumab	322.8446991617267
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.8390023770564
CDM00001723_T109;CDM00001723_T121;CDM00001723_T220;CDM00001723_T777:7-((hydroxybis(2-thienyl)acetyl)oxy)-9,9-dimethyl-3-oxa-9-azoniatricyclo(3.3.1.0(2,4))nonane_bromide	322.83586949074277
CDM00003349_T109;CDM00003349_T121;CDM00003349_T220;CDM00003349_T777:11-(3-(dimethylamino)propylidene)-6,11-dihydrodibenz(b,e)oxepin-2-acetic_acid	322.8344891202828
CDM00003246_T109;CDM00003246_T121;CDM00003246_T231;CDM00003246_T777:4-(5-Cyclopentyloxycarbonylamino-1-methyl-1H-indol-3-ylmethyl)-3-methoxy-N-O-tolylsulfonylbenzamide	322.8112438574489
