target	fet_p_value_and_ratio
CD00198722_T109;CD00198722_T121;CD00198722_T231:(3R)-1-((1R,2R)-2-(2-(3,4-dimethoxyphenyl)ethoxy)cyclohexyl)pyrrolidin-3-ol	322.9346042731661
CDM00001524_T109;CDM00001524_T121;CDM00001524_T220;CDM00001524_T777:(+-)-4'-(4-(Ethylheptylamino)-1-hydroxybutyl)methanesulfonanilide_Fumarate(2:1)(salt)	322.80889070230785
CD00077653_T109;CD00077653_T121;CD00077653_T220;CD00077653_T777:dronedarone	322.8020188108032
CDM00001544_T109;CDM00001544_T121;CDM00001544_T236;CDM00001544_T777:(+-)-2'-[2-(1-Methyl-2-piperidyl)ethyl]-P-anisanilide	322.74097255355633
CDM00016905_T109;CDM00016905_T121;CDM00016905_T220;CDM00016905_T777:1H-Pyrazolo(3,4-c)pyridine-3-carboxamide,_4,5,6,7-tetrahydro-1-(4-methoxyphenyl)-7-oxo-6-(4-(2-oxo-1-piperidinyl)phenyl)-	322.7052694040838
CD00202979_T109;CD00202979_T121;CD00202979_T777:dabigatran	322.69442095274627
CD00236826_T109;CD00236826_T121;CD00236826_T220;CD00236826_T777:edoxaban	322.69238022326334
CD00181951_T109;CD00181951_T195:zotarilumus	322.6823041864756
CDM00001764_T109;CDM00001764_T121;CDM00001764_T220;CDM00001764_T777:(2S)-2-(Butylsulfonylamino)-3-[4-(4-piperidin-4-ylbutoxy)phenyl]propanoic_acid	322.64166290358344
CDM00015254_T109;CDM00015254_T121;CDM00015254_T220;CDM00015254_T777:dabigatran_etexilate	322.6377579543644
CDM00023884_T109;CDM00023884_T121;CDM00023884_T220;CDM00023884_T777:entresto	322.6263760259676
CDM00001818_T116;CDM00001818_T121;CDM00001818_T129;CDM00001818_T220;CDM00001818_T777:7E3_antibody	322.61507897948707
CDM00001779_T116;CDM00001779_T121;CDM00001779_T231;CDM00001779_T777:epifibatide	322.61062507943114
CDM00001594_T109;CDM00001594_T121;CDM00001594_T231;CDM00001594_T777:1-(4-methanesulfonamidophenoxy)-2-(N-(4-methanesulfonamidophenethyl)-N-methylamine)ethane	322.5971608594363
CDM00000472_T109;CDM00000472_T121;CDM00000472_T242;CDM00000472_T777:acetate_flecainide	322.5926226746294
CDM00015913_T109;CDM00015913_T121;CDM00015913_T777;CDM00015913_T220:5-chloro-N-(((5S)-2-oxo-3-(4-(3-oxomorpholin-4-yl)phenyl)-1,3-oxazolidin-5-yl)methyl)thiophene-2-carboxamide	322.5918413694656
CD00301534_T121;CD00301534_T777:Vitamin_K_antagonists	322.58919689699644
CDM00001690_T116;CDM00001690_T121;CDM00001690_T231;CDM00001690_T777;CDM00001690_T200:Angiomax	322.5807621487747
CDM00001425_T109;CDM00001425_T121;CDM00001425_T231;CDM00001425_T777:1-Piperazineacetamide,_N-(2,6-dimethylphenyl)-4-(2-hydroxy-_3-(2-methoxyphenoxy)propyl)-	322.56172346166954
CDM00000914_T116;CDM00000914_T121;CDM00000914_T126;CDM00000914_T231;CDM00000914_T777:streptase	322.55709855837443
CDM00000469_T121:Antithrombotic_Agent	322.55039930949
CD00000087_T109;CD00000087_T121:(1Alpha,3Alpha,6Alpha,14Alpha,15Alpha,16Beta)-20-Ethyl-1,6,16-Trimethoxy-4-(Methoxymethyl)Aconitane-3,8,13,14,15-Pentol_8-Acetate_14-Benzoate	322.5457592572722
CD00198604_T114;CD00198604_T121;CD00198604_T220;CD00198604_T777:(1S,2S,3R,5S)-3-(7-((1R,2S)-2-(3,4-Difluorophenyl)cyclopropylamino)-5-(propylthio)-3H-(1,2,3)triazolo(4,5-d)pyrimidin-3-yl)-5-(2-hydroxyethoxy)cyclopentane-1,2-diol	322.54188835585086
CDM00000853_T109;CDM00000853_T121;CDM00000853_T220;CDM00000853_T777:1-(2-(2-Hydroxy-3-(propylamino)propoxy)phenyl)-3-phenyl-1-propanone	322.53778647308206
CDM00000426_T109;CDM00000426_T121;CDM00000426_T220;CDM00000426_T777:(6aR,9R)-7-Methyl-4,6,6a,7,8,9-hexahydro-indolo[4,3-fg]quinoline-9-carboxylic_acid_((S)-2-hydroxy-1-methyl-ethyl)-amide	322.5266415743234
CDM00007449_T109;CDM00007449_T121;CDM00007449_T777;CDM00007449_T220:747,_CS	322.51287489413176
CDM00000691_T109;CDM00000691_T121;CDM00000691_T231;CDM00000691_T777:1-(2',6'-Dimethylphenoxy)-2-aminopropane	322.4747042656821
CDM00009183_T109;CDM00009183_T121:Derivatives,_Thienopyridine	322.47390606014505
CDM00000704_T109;CDM00000704_T121;CDM00000704_T777;CDM00000704_T220:4'-(1-Hydroxy-2-(isopropylamino)ethyl)methane_sulfonanilide	322.46927899881945
CDM00000394_T109;CDM00000394_T121;CDM00000394_T220;CDM00000394_T777:2,2',2'',2''''-[(4,8-Dipiperidinopyrimido-[5,4-d]pyrimidine-2,6-diyl)dinitrilo]tetraethanol	322.45056209278596
CDM00001366_T109;CDM00001366_T121;CDM00001366_T220;CDM00001366_T777:Clopidogrel_[Ban:Inn]	322.42794036720386
CDM00000396_T109;CDM00000396_T121;CDM00000396_T220;CDM00000396_T777:2-(1-(Ammoniocarbonyl)-3-(diisopropylammonio)-1-phenylpropyl)pyridinium_Phosphate	322.407754625849
CDM00000082_T109;CDM00000082_T121;CDM00000082_T231;CDM00000082_T777;CDM00000082_T200;CDM00000082_T220:2-Butyl-3-(3,5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran	322.393520694349
CD00000127_T109;CD00000127_T121;CD00000127_T231;CD00000127_T777:(5AR,6S,8S,10S,11S,11as,12ar,13R)-5-methyl-5a,6,8,9,10,11,11a,12-octahydro-5H-6,10:11,12a-dimethanoindolo[3,2-b]quinolizine-8,13-diol	322.3773644939794
CD00003339_T109;CD00003339_T121;CD00003339_T231:1-[2,3,4-trimethoxybenzyl]_piperazine_dihydrochloride	322.35710694967554
CDM00001264_T109;CDM00001264_T121;CDM00001264_T220;CDM00001264_T777:1,4:3,6-Dianhydro-D-glucitol_5-nitrate	322.3436344488728
CD00001886_T109;CD00001886_T121;CD00001886_T231:D-Glucitol,_1,4:3,6-dianhydro-	322.32128323789095
CDM00000326_T109;CDM00000326_T121;CDM00000326_T777;CDM00000326_T131;CDM00000326_T220:1,2_Benzopyrone_Derviatives	322.3062153431158
CD00027373_T109;CD00027373_T121;CD00027373_T220;CD00027373_T777:3-[3-({[(7S)-3,4-dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl]methyl}(methyl)amino)propyl]-7,8-dimethoxy-2,3,4,5-tetrahydro-1H-3-benzazepin-2-one	322.3062153431158
CDM00000007_T109;CDM00000007_T121;CDM00000007_T777;CDM00000007_T220:5-(o-Chlorobenzyl)-4,5,6,7-tetrahydrothieno(3,2-c)pyridinium_Chloride	322.2708992339511
CD00143460_T109;CD00143460_T121;CD00143460_T231:99m_Tc-sestamibi	322.21508316896666
CDM00000820_T109;CDM00000820_T121;CDM00000820_T127;CDM00000820_T231;CDM00000820_T777:1,4-Naphthalenedione,_2-methyl-3-(3,7,11,15-tetramethyl-2-hexadecenyl)-,_(R-(R*,R*-(E)))-	322.1972524349316
CDM00000401_T109;CDM00000401_T121;CDM00000401_T220;CDM00000401_T777:1,2-Benzenediol,_4-(2-((3-(4-hydroxyphenyl)-1-methylpropyl)amino)ethyl)-,_(+-)-	322.1946815055246
CDM00000521_T109;CDM00000521_T121;CDM00000521_T231;CDM00000521_T777:1,2,3-propanetriol_trinitrate	322.1808542200406
CDM00000040_T121;CDM00000040_T777:ADREN_BETA_ANTAG	322.14783249321675
CDM00000880_T109;CDM00000880_T121;CDM00000880_T231;CDM00000880_T777:6-methoxy-α-(5-vinyl-2-quinuclidinyl)-4-quinolinemethanol	322.13845821644964
CDM00000598_T109;CDM00000598_T121;CDM00000598_T231;CDM00000598_T777:1,4:3,6-Dianhydrosorbitol_2,5-dinitrate	322.12118726853254
CD00350949_T232;CD00350949_T777:alpha-Methylguanidino_acetic_acid	322.1076562138945
CDM00000103_T121;CDM00000103_T777:ACE_INHIB	322.0666393775935
CDM00003378_T109;CDM00003378_T121;CDM00003378_T220;CDM00003378_T777:(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone	322.05064275544265
CDM00000119_T121:Agents,_Anticoagulant	322.0505271788818
CD00002563_T116;CD00002563_T121;CD00002563_T123;CD00002563_T660:Creatine-P	322.0360896209957
CDM00001103_T116;CDM00001103_T121;CDM00001103_T125;CDM00001103_T231;CDM00001103_T777:1,2-Dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecaazacyclotripentacontane,_Cyclic_Peptide_Derivative	322.00044215237915
CDM00003155_T109;CDM00003155_T121;CDM00003155_T777:HMG_COA_REDUCTASE_INHIB	321.9903554349085
CDM00001115_T109;CDM00001115_T121;CDM00001115_T231;CDM00001115_T777:(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol	321.9892328385172
CDM00000833_T116;CDM00000833_T121;CDM00000833_T126;CDM00000833_T220;CDM00000833_T777;CDM00000833_T231:173-527-Plasminogen_activator_(human_tissue-type),_173-L-serine-174-L-tyrosine-175-L-glutamine-	321.9768350000242
CDM00000378_T109;CDM00000378_T121;CDM00000378_T777;CDM00000378_T220;CDM00000378_T125:12beta-Hydroxydigitoxin	321.9559237988509
CDM00003337_T121:Angiotensin_2_Receptor_Blocker	321.9529215457948
