target	fet_p_value_and_ratio
CD00027800_T121;CD00027800_T777:agents_thyroid	323.0051853474518
CD00078258_T109;CD00078258_T121;CD00078258_T220:Pig_thyroid	323.0051853474518
CD00297435_T121;CD00297435_T777:Thyroid_Therapy	323.0051853474518
CD00356185_T777:Thyroid	323.0051853474518
CD00356284_T777:thyroid_hormones	323.0051853474518
CD00037518_T121;CD00037518_T197:isotonic_sodium_chloride	322.9958678532728
CDM00000781_T116;CDM00000781_T121;CDM00000781_T125;CDM00000781_T231;CDM00000781_T777:(1-34)-Human_Parathyroid_Hormone	322.9576888394079
CDM00016601_T116;CDM00016601_T121;CDM00016601_T129;CDM00016601_T220;CDM00016601_T777:belimumab	322.9071187572438
CD00091748_T109;CD00091748_T121;CD00091748_T550:3-(2-(2-(4-methylpiperidin-1-yl)ethyl)pyrrolidine-1-sulfonyl)phenol	322.90252300555466
CD00003240_T116;CD00003240_T121;CD00003240_T125;CD00003240_T242;CD00003240_T777:tg_thyroglobulin	322.8975476738166
CD00302167_T121;CD00302167_T777:Iodine_therapy	322.8884669410902
CD00005414_T109;CD00005414_T121:alpha-methyl-5-HT	322.88791405179603
CD00355646_T231:Iodide-131	322.86073540635937
CD00004804_T109;CD00004804_T121:5-carboxamide_tryptamine	322.85905731177354
CD00025209_T109;CD00025209_T121:1H-Indole-3-carboxylic_acid,_1-methyl-,_(1-(2-((methylsulfonyl)amino)ethyl)-4-piperidinyl)methyl_ester	322.8537485213958
CD00003331_T116;CD00003331_T121;CD00003331_T125:3,3,5_Triiodothyronine	322.8523843442892
CD00024651_T109;CD00024651_T121:M100907	322.84420150665886
CD00019874_T109;CD00019874_T121:mesulergine	322.8184394608653
CD00002119_T109;CD00002119_T121:Methiothepin	322.8155768709006
CD00355620_T220:Corticorelin_ovine_triflutate	322.8129801344249
CD00017124_T129:Antibodies,_Antineutrophil_Cytoplasmic	322.79932081867094
CD00005028_T109;CD00005028_T121:1-Naphthalenol,_7-(dipropylamino)-5,6,7,8-tetrahydro-	322.7985867103928
CD00004637_T109;CD00004637_T121:1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane	322.79750237955966
CDM00001026_T109;CDM00001026_T121;CDM00001026_T550:3,3',5-triiodothyroacetic_acid	322.79715864146306
CD00003241_T121;CD00003241_T125;CD00003241_T777:Agents,_Antithyroid	322.78258326810294
CDM00014724_T109;CDM00014724_T121;CDM00014724_T220;CDM00014724_T777:cinacalcet	322.7720237215667
CD00356285_T777:thyroxine	322.77056031602086
CDM00000986_T109;CDM00000986_T195;CDM00000986_T777;CDM00000986_T220:(3R,5R,6R,7S,8R,11R,12S,13R,14S,15S)-12-[(4-O-acetyl-2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)oxy]-14-{[2-O-acetyl-3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranosyl]oxy}-5,7,8,11,13,15-hexamethyl-4,10-dioxo-1,9-dioxaspiro[2.13]hexadec-6-yl_acetate	322.76331069212637
CD00003645_T109;CD00003645_T121:1-(3-(trifluoromethyl)phenyl)piperazine	322.76152106292244
CD00015102_T109;CD00015102_T121;CD00015102_T550:5H-Thiazolo(3,2-a)pyrimidin-5-one,_6-(2-(4-(bis(4-fluorophenyl)methylene)-1-piperidinyl)ethyl)-7-methyl-	322.75377978222673
CD00356114_T777:Hypothalamic_Hormones	322.743231256992
CDM00020510_T109;CDM00020510_T121;CDM00020510_T220:1-(Glucopyranosyl)-4-methyl-3-(5-(4-fluorophenyl)-2-thienylmethyl)benzene_-_T777973	322.74290794077984
CDM00000668_T109;CDM00000668_T121;CDM00000668_T220;CDM00000668_T777:1-METHYL-1,3-dihydro-2H-imidazole-2-thione	322.72760325205513
CDM00020663_T109;CDM00020663_T121;CDM00020663_T231;CDM00020663_T777:4-(3-chloro-4-((cyclopropylaminocarbonyl)amino)phenoxy)-7-methoxy-6-quinolinecarboxamide	322.705434570627
CD00019288_T109;CD00019288_T121:ipsapirone	322.70415535178785
CD00003639_T109;CD00003639_T121;CD00003639_T550:1-(3-chlorophenyl)piperazine	322.7009670192998
CD00355784_T220:Sodium_iodide	322.69684074550213
CD00002751_T114;CD00002751_T121;CD00002751_T231;CD00002751_T777:2,3-dihydro-6-Propyl-2-thioxo-4(1H)-pyrimidinone	322.6909538951829
CD00002115_T109;CD00002115_T121;CD00002115_T330:Carbamic_acid,_(((8beta)-1,6-dimethylergolin-8-yl)methyl)-,_phenylmethyl_ester	322.6783480881815
CD00001914_T109;CD00001914_T121;CD00001914_T550;CD00001914_T777:2,4(1H,3H)-Quinazolinedione,_3-(2-(4-(4-fluorobenzoyl)-1-piperidinyl)ethyl)-	322.67516807147706
CD00002839_T109;CD00002839_T121:2-(1-Piperazinyl)quinoline	322.66746343451604
CD00356247_T777:hydroxytryptamine	322.66288796735796
CDM00017771_T109;CDM00017771_T121;CDM00017771_T220;CDM00017771_T777:2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2H-pyran-3,4,5-triol	322.65237659349737
CD00289313_T109;CD00289313_T121;CD00289313_T220;CD00289313_T777:1-chloro-4-(glucopyranos-1-yl)-2-(4-(tetrahydrofuran-3-yloxy)benzyl)benzene	322.6171399454981
CDM00001770_T109;CDM00001770_T121;CDM00001770_T127;CDM00001770_T231;CDM00001770_T777;CDM00001770_T200:19-nor-1,25-(OH)2D2	322.6150773965678
CDM00000240_T109;CDM00000240_T121;CDM00000240_T231;CDM00000240_T777:1H-Imidazole-1-carboxylic_acid,_2,3-dihydro-3-methyl-2-thioxo-,_ethyl_ester	322.6018128143837
CDM00000325_T116;CDM00000325_T121;CDM00000325_T125;CDM00000325_T550;CDM00000325_T109:ACTH_releasing_factor	322.5862627079364
CDM00000339_T116;CDM00000339_T121;CDM00000339_T777;CDM00000339_T125;CDM00000339_T240;CDM00000339_T109:3,3',5-triiodo-L-thyronine	322.55853562624463
CDM00016866_T121;CDM00016866_T777:Dipeptidyl_peptidase_4_(DPP-4)_inhibitors	322.5548284938036
CD00009274_T109;CD00009274_T121;CD00009274_T231;CD00009274_T777:1H-Indole-3-carboxylic_acid,_8-methyl-8-azabicyclo(3.2.1)oct-3-yl_ester,_endo-	322.5524059298943
CDM00015253_T109;CDM00015253_T121;CDM00015253_T231;CDM00015253_T777:(2S)-(((3-hydroxyadamantan-1-yl)amino)acetyl)pyrrolidine-2-carbonitrile	322.5426391008803
CD00356248_T777:insulin-lispro	322.52684416361006
CDM00000901_T121;CDM00000901_T777:5_HT_ANTAG	322.51616486943243
CDM00000685_T109;CDM00000685_T121;CDM00000685_T220;CDM00000685_T777:1-Methyl-dextro-lysergic_acid_(+)-1-hydroxy-2-butylamide	322.51246514575996
CD00350998_T331:Dimethyltryptamine	322.5124461172022
CD00355609_T551:3-(2-Aminoethyl)-1H-indol-5-ol	322.51201570136055
CDM00001582_T109;CDM00001582_T121;CDM00001582_T220;CDM00001582_T777:1-((6-allylergolin-8beta-yl)carbonyl)-1-(3-(dimethylamino)propyl)-3-ethylurea	322.5103353257717
CDM00000414_T109;CDM00000414_T121;CDM00000414_T220;CDM00000414_T777:3-hydroxy-N,N-dimethyl-N-ethylanilinium	322.507115333398
