target	fet_p_value_and_ratio
CD00000892_T109;CD00000892_T121;CD00000892_T168;CD00000892_T240:cod_liver_oil	323.0051853474518
CD00001983_T109;CD00001983_T121;CD00001983_T777:Extracts,_Liver	323.0051853474518
CD00336939_T200:Glucose_Injection	323.0051853474518
CD00352601_T330:Glucose-6-Phosphate	323.0051853474518
CD00037518_T121;CD00037518_T197:isotonic_sodium_chloride	322.9958678532728
CDM00000517_T109;CDM00000517_T121;CDM00000517_T123;CDM00000517_T240;CDM00000517_T777:6-(hydroxymethyl)oxane-2,3,4,5-tetrol	322.9953162048055
CD00036583_T109;CD00036583_T121:2-deoxy-2-((7-nitro-2,1,3-benzoxadiazol-4-yl)amino)-D-glucose	322.98498196136353
CD00100236_T109;CD00100236_T121:T_0901317	322.9648142547785
CD00004441_T109;CD00004441_T121;CD00004441_T130:3-o-methyl-d-glucose	322.9589529585585
CD00236300_T116;CD00236300_T121;CD00236300_T220:des-38-proline-exendine-4_(Heloderma_suspectum)-(1-39)-peptidylpenta-L-lysyl-L-lysinamide	322.952249272264
CD00243186_T116;CD00243186_T121;CD00243186_T231:dulaglutide	322.95120353498555
CD00212520_T109;CD00212520_T121;CD00212520_T220:Methyl_N-[4,6-Diamino-2-[1-[(2-fluorophenyl)methyl]-1H-pyrazolo[3,4-b]pyridin-3-yl]-5-pyrimidinyl]-N-methyl-carbaminate	322.9385504389706
CD00086512_T121;CD00086512_T125:apri_[brand_name]	322.9323092746632
CDM00009137_T109;CDM00009137_T121;CDM00009137_T777;CDM00009137_T231:(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy-_1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl]_oxy]acetic_acid	322.9159272112383
CD00356051_T231:Semaglutide	322.9127526367985
CDM00017771_T109;CDM00017771_T121;CDM00017771_T220;CDM00017771_T777:2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2H-pyran-3,4,5-triol	322.8962196368199
CDM00020510_T109;CDM00020510_T121;CDM00020510_T220:1-(Glucopyranosyl)-4-methyl-3-(5-(4-fluorophenyl)-2-thienylmethyl)benzene_-_T777973	322.88088953395413
CDM00003774_T109;CDM00003774_T121;CDM00003774_T777;CDM00003774_T220:Eovist	322.8764173110967
CD00289313_T109;CD00289313_T121;CD00289313_T220;CD00289313_T777:1-chloro-4-(glucopyranos-1-yl)-2-(4-(tetrahydrofuran-3-yloxy)benzyl)benzene	322.8737279971791
CD00124847_T109;CD00124847_T121;CD00124847_T231;CD00124847_T777:2-(4,6-dimethylpyrimidin-2-yl)oxy-3-methoxy-3,3-diphenyl-propanoic_acid	322.8711669529916
CD00001041_T109;CD00001041_T121;CD00001041_T334:2-Deoxy-D-arabino-hexose	322.8703839789193
CDM00015912_T109;CDM00015912_T121;CDM00015912_T220;CDM00015912_T777;CDM00015912_T116:(1S,3S,5S)-2-((2S)-2-Amino-2-(3-hydroxyadamantan-1-yl)_acetyl)-2-azabicyclo(3.1.0)hexane-3-carbonitrile_hydrate	322.85952997042557
CDM00017128_T109;CDM00017128_T121;CDM00017128_T220:2-((6-((3R)-3-aminopiperidin-1-yl)-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl)_benzonitrile	322.8494768979457
CDM00015253_T109;CDM00015253_T121;CDM00015253_T231;CDM00015253_T777:(2S)-(((3-hydroxyadamantan-1-yl)amino)acetyl)pyrrolidine-2-carbonitrile	322.84151378451816
CDM00016866_T121;CDM00016866_T777:Dipeptidyl_peptidase_4_(DPP-4)_inhibitors	322.836107069787
CDM00015244_T109;CDM00015244_T121;CDM00015244_T231;CDM00015244_T777:0431,_MK	322.82434765337166
CDM00019379_T109;CDM00019379_T121;CDM00019379_T220:1H-purine-2,6-dione,_8-((3r)-3-amino-1-piperidinyl)-7-(2-butynyl)-3,7-dihydro-3-methyl-1-((4-methyl-2-quinazolinyl)methyl)-	322.8232488523547
CD00008699_T121;CD00008699_T197:gadolinium_chloride	322.8204183208258
CDM00009129_T116;CDM00009129_T121;CDM00009129_T125;CDM00009129_T220;CDM00009129_T777:2211,_NN	322.8001376550925
CDM00001302_T109;CDM00001302_T121;CDM00001302_T777:4-(2-(5-chloro-2-methoxybenzamido)ethyl)benzoic_acid	322.8001303924608
CDM00000816_T109;CDM00000816_T121;CDM00000816_T123:1-Propanone,_1-(2-(beta-D-glucopyranosyloxy)-4,6-dihydroxyphenyl)-3-(4-hydroxyphenyl)-	322.7867433603731
CDM00007429_T116;CDM00007429_T121;CDM00007429_T231;CDM00007429_T777;CDM00007429_T109:D-phenylalanine,_N-((trans-4-(1-methylethyl)cyclohexyl)carbonyl)-	322.7778817745971
CD00006898_T109;CD00006898_T195:1-(2-chloroethyl)-1-nitroso-3-(D-glucos-2-yl)urea	322.77735179050956
CDM00000169_T109;CDM00000169_T121;CDM00000169_T225;CDM00000169_T777:(AlphaS)-N,alpha-dimethylphenethylamine	322.7768751367275
CD00000340_T121;CD00000340_T777:Agents,_Antihypertensive	322.7742767389852
CD00356248_T777:insulin-lispro	322.76804586925635
CD00289828_T116;CD00289828_T121;CD00289828_T125;CD00289828_T220:(1A-21A),(1B-29B)-insulin_(human),_29B-(N6-(N-(15-carboxy-1-_oxopentadecyl)-L-gamma-_glutamyl)-L-lysine)-	322.76604234264903
CDM00001234_T109;CDM00001234_T121;CDM00001234_T220;CDM00001234_T777:1-(4-(2-(3-ethyl-4-methyl-2-oxo-3-pyrrolinecarboxamido)ethyl)phenylsulfonyl)-3-(4-methylcyclohexyl)urea	322.7590471360347
CD00141366_T116;CD00141366_T121;CD00141366_T125;CD00141366_T777:29b-[n6-(oxo-tetradecy)-l-lysine]-(1a-21a),(1b-29b)-insulin_(human)	322.7506127530268
CDM00007357_T116;CDM00007357_T121;CDM00007357_T777;CDM00007357_T125;CDM00007357_T220:A21_Gly_B31_Arg_B32_Arg_insulin	322.7496166735658
CD00181951_T109;CD00181951_T195:zotarilumus	322.74947171028225
CDM00000573_T116;CDM00000573_T121;CDM00000573_T125:Hagedorn_Insulin,_Protamine	322.7466726672212
CD00333398_T109;CD00333398_T121;CD00333398_T123;CD00333398_T220;CD00333398_T777:dextronic_acid	322.7405904422186
CDM00001831_T116;CDM00001831_T121;CDM00001831_T125;CDM00001831_T220;CDM00001831_T777:28(B)-Lys-29(B)-Pro-Insulin	322.7340924199373
CDM00003368_T116;CDM00003368_T121;CDM00003368_T125;CDM00003368_T220:Basal_Insulin_Detemir	322.7340474318312
CD00006121_T109;CD00006121_T121;CD00006121_T330:3-Phenyl-1H-naphtho[2,1-b]pyran-1-one	322.72538609314813
CDM00001610_T116;CDM00001610_T121;CDM00001610_T125;CDM00001610_T220;CDM00001610_T777:aspart	322.72077386382256
CD00002988_T109;CD00002988_T121:silimarin	322.7178013654947
CD00085488_T109;CD00085488_T121;CD00085488_T125;CD00085488_T220:11-deoxycorticosterone_acetate	322.71758927621056
CDM00001247_T116;CDM00001247_T121;CDM00001247_T129;CDM00001247_T231;CDM00001247_T109:h_big	322.7165424868782
CDM00001042_T109;CDM00001042_T121;CDM00001042_T231;CDM00001042_T777:Acarbosa	322.7108627357948
