target	fet_p_value_and_ratio
CDM00001484_T116;CDM00001484_T121;CDM00001484_T129;CDM00001484_T220:Human_herpesvirus_3_immune_globulin	323.0051853474518
CD00057963_T200:coughing_syrups	323.0051853474518
CD00002041_T121;CD00002041_T129;CD00002041_T777:live_measles_vaccine	323.0051853474518
CD00003444_T121;CD00003444_T129;CD00003444_T777:Vaccines,_Viral	323.0051853474518
CDM00015592_T200;CDM00015592_T116;CDM00015592_T121;CDM00015592_T129:0.5_ML_Japanese_encephalitis_virus_vaccine_Nakayama-NIH_strain,_inactivated_0.012_MG/ML_Prefilled_Syringe	323.0051853474518
CDM00001852_T121;CDM00001852_T129;CDM00001852_T231;CDM00001852_T116:fever_vaccines_yellow	323.0051853474518
CD00043096_T116;CD00043096_T121;CD00043096_T129:a_hepatitis_b_vaccine	323.0051853474518
CDM00001692_T121;CDM00001692_T129;CDM00001692_T220;CDM00001692_T777:HEPATITIS_A	323.0051853474518
CDM00001247_T116;CDM00001247_T121;CDM00001247_T129;CDM00001247_T231;CDM00001247_T109:h_big	323.0028229056413
CD00018574_T116;CD00018574_T121;CD00018574_T129:engerix_b	322.99222037028744
CDM00000540_T129;CDM00000540_T242;CDM00000540_T121;CDM00000540_T116;CDM00000540_T109:antigen_australia	322.98688302232256
CDM00007730_T114;CDM00007730_T121;CDM00007730_T231;CDM00007730_T777:6H-Purin-6-One,_2-Amino-1,9-Dihydro-9-((1S,3R,4S)-4-Hydroxy-3-(Hydroxymethyl)-2-Methylenecyclopentyl)-_Monohydrate	322.98525412307816
CD00209743_T109;CD00209743_T121;CD00209743_T220:(3-Carbamoyl-3,3-diphenylpropyl)ethyldimethylammonium	322.96303889673226
CDM00018043_T109;CDM00018043_T121;CDM00018043_T220;CDM00018043_T777:HSDB_8227	322.9609570643933
CD00301706_T121:DIRECT_ACTING_ANTIVIRALS	322.9601772867266
CD00289831_T109;CD00289831_T121;CD00289831_T231;CD00289831_T777:asunaprevir	322.95719497545883
CDM00020003_T109;CDM00020003_T121;CDM00020003_T231;CDM00020003_T777:BMS-790052	322.95623769944086
CD00317090_T121;CD00317090_T777:ledipasvir_-_sofosbuvir	322.9529818093235
CD00315104_T109;CD00315104_T121;CD00315104_T220;CD00315104_T777:Carbamic_Acid,_N-((1S)-1-(((6S)-6-(5-(9,9-difluoro-7-(2-((1R,3S,4S)-2-((2S)-2-((methoxycarbonyl)amino)-3-methyl-1-oxobutyl)-2-azabicyclo(2.2.1)hept-3-yl)-1H-benzimidazol-6-yl)-9H-fluoren-2-yl)-1H-imidazol-2-yl)-5-azaspiro(2.4)hept-5-yl)carbonyl)-2-methylpropyl)-,_Methyl_Ester	322.951561519192
CDM00016714_T116;CDM00016714_T121;CDM00016714_T242;CDM00016714_T777:3-Azabicyclo(3.1.0)hexane-2-carboxamide,_N-(3-amino-1-(cyclobutylmethyl)-2,3-dioxopropyl)-3-((2S)-2-((((1,1-_dimethylethyl)amino)carbonyl)amino)-3,3-dimethyl-1-oxobutyl)-6,6-_dimethyl-,_(1R,2S,5S)-	322.9508943919079
CD00318271_T121;CD00318271_T777:OBV/PTV/r	322.9508276851292
CDM00001408_T116;CDM00001408_T129:aging_e	322.9458136990255
CDM00003268_T116;CDM00003268_T121;CDM00003268_T129;CDM00003268_T231;CDM00003268_T777;CDM00003268_T109:pegasys	322.943592024461
CD00315506_T109;CD00315506_T121;CD00315506_T231;CD00315506_T777:Carbamic_Acid,_N,N'-(((2S,5S)-1-(4-(1,1-dimethylethyl)phenyl)-2,5-pyrrolidinediyl)bis(4,1-phenyleneiminocarbonyl-(2S)-2,1-pyrrolidinediyl((1S)-1-(1-methylethyl)-2-oxo-2,1-ethanediyl)))bis-,_C,C'-Dimethyl_Ester	322.9432019773527
CD00318214_T109;CD00318214_T121;CD00318214_T231;CD00318214_T777:(2R,6S,12Z,13aR,14aR,16aS)-N-(cyclopropanesulfonyl)-6-[(5-methylpyrazine-2-carbonyl)amino]-5,16-dioxo-2-[(phenanthridin-6-yl)oxy]-1,2,3,6,7,8,9,10,11,13a,14,15,16,16a-tetradecahydrocyclopropa[e]pyrrolo[1,2-a][1,4]diazacyclopentadecine-14a(5H)-carboxamide	322.94099249527943
CDM00016939_T116;CDM00016939_T121;CDM00016939_T242;CDM00016939_T777:(1S,3AR,6as)-(2S)-2-cyclohexyl-N-(pyrazinylcarbonyl)glycyl-3-methyl-L-valyl-N-((1S)-1-((cyclopropylamino)oxoacetyl)butyl)octahydrocyclopenta(c)pyrrole-1-carboxamide	322.9404298406632
CDM00020512_T114;CDM00020512_T121;CDM00020512_T220;CDM00020512_T777;CDM00020512_T109:2-((5-(2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl)-4-fluoro-3-hydroxy-4-methyltetrahydrofuran-2-ylmethoxy)phenoxyphosphorylamino)propionic_acid_isopropyl_ester	322.93671685170267
CDM00001299_T121;CDM00001299_T129:Measles,_Mumps,_and_Rubella_Vaccine	322.92994192395304
CD00315403_T109;CD00315403_T121;CD00315403_T220;CD00315403_T777:dasabuvir	322.9242782624181
CD00315725_T109;CD00315725_T121;CD00315725_T231;CD00315725_T777:5H-benzo(b)carbazole-3-carbonitrile,_9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-	322.92305426647533
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.9082753344437
CDM00007133_T116;CDM00007133_T121;CDM00007133_T129;CDM00007133_T220;CDM00007133_T777:alfa-2b_peginterferon	322.9071716629936
CDM00015052_T114;CDM00015052_T121;CDM00015052_T231;CDM00015052_T777:1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H,3H)-pyrimidinedione	322.9064311937454
CDM00022993_T109;CDM00022993_T121;CDM00022993_T220;CDM00022993_T777:2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-_isopropylsulfonyl)phenyl)_pyrimidine-2,4-diamine	322.90486908575184
CDM00024450_T109;CDM00024450_T121;CDM00024450_T220;CDM00024450_T777:mereletinib	322.9045948507054
CD00334606_T109;CD00334606_T121:Bupivacaine_Liposome_Injectable_Suspension	322.8978099007656
CD00000337_T129:Antigens,_Viral	322.89372839442314
CDM00001041_T114;CDM00001041_T121;CDM00001041_T550;CDM00001041_T777;CDM00001041_T231;CDM00001041_T109:9-(2-((-bis((pivaloyloxy)methoxy)phosphinyl)methoxy)ethyl)adenine	322.8920994376385
CD00355675_T220:(13C)urea	322.8882352314981
CD00198696_T109;CD00198696_T121;CD00198696_T220:3-((1R,2R)-3-(dimethylamino)-1-ethyl-2-methylpropyl)phenol	322.8865560847505
CDM00000886_T114;CDM00000886_T121;CDM00000886_T220;CDM00000886_T777;CDM00000886_T109;CDM00000886_T123:1-beta-D-Ribofuranosyl-1,2,4-triazole-3-carboxamide	322.88628072648584
CDM00001723_T109;CDM00001723_T121;CDM00001723_T220;CDM00001723_T777:7-((hydroxybis(2-thienyl)acetyl)oxy)-9,9-dimethyl-3-oxa-9-azoniatricyclo(3.3.1.0(2,4))nonane_bromide	322.8825671583749
CDM00020509_T109;CDM00020509_T121;CDM00020509_T220;CDM00020509_T777:2-Pyridinamine,_3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-	322.8727429746893
CD00229728_T109;CD00229728_T121;CD00229728_T220:4-{(1R)-2-[(6-{2-[(2,6-dichlorobenzyl)oxy]ethoxy}hexyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol	322.86913872958974
CDM00000108_T121:antirheumatic_agent	322.8635350475841
CD00002782_T109;CD00002782_T121;CD00002782_T123;CD00002782_T777:alveolar_surfactant	322.8533852200445
CDM00000891_T116;CDM00000891_T121;CDM00000891_T129;CDM00000891_T231;CDM00000891_T777:german_measles_vaccine	322.82490472007214
CD00203438_T121:Acetaminophen_3	322.8181815926304
CDM00003765_T116;CDM00003765_T121;CDM00003765_T129;CDM00003765_T231;CDM00003765_T777:anti-RSV	322.8136519043144
CDM00007386_T109;CDM00007386_T121;CDM00007386_T231;CDM00007386_T777:4-(3'-chloro-4'-Fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline	322.8096249109097
CDM00020588_T109;CDM00020588_T121;CDM00020588_T550;CDM00020588_T220;CDM00020588_T777:2-butenamide,_N-(4-((3-chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydro-3-furanyl)oxy)-_6-quinazolinyl)-4-(dimethylamino)-,_(2E)-	322.807513627886
CDM00022921_T109;CDM00022921_T121;CDM00022921_T234:Glycopyrrolate_cation	322.79820387537774
CD00086512_T121;CD00086512_T125:apri_[brand_name]	322.79394044867314
CD00100255_T109;CD00100255_T121;CD00100255_T220;CD00100255_T777:3-cyclopropylmethoxy-4-difluoromethoxy-N-(3,5-di-chloropyrid-4-yl)benzamide	322.7927132904311
CDM00010532_T109;CDM00010532_T121;CDM00010532_T231;CDM00010532_T777:[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine	322.78368788759036
CDM00007437_T109;CDM00007437_T121;CDM00007437_T231;CDM00007437_T777:Cymeval	322.78318370415957
CDM00001718_T109;CDM00001718_T121;CDM00001718_T231;CDM00001718_T777:231,514,_LY	322.7778336264721
