target	fet_p_value_and_ratio
CD00002786_T114;CD00002786_T195:3'_Amino_3'_deoxy_N,N_dimethyladenosine	322.7525433439211
CD00077914_T109;CD00077914_T121;CD00077914_T220;CD00077914_T777:La2(CO3)3	322.7408485918396
CDM00003347_T109;CDM00003347_T121;CDM00003347_T777;CDM00003347_T220:2-Propen-1-amine,_Polymer_with_(Chloromethyl)oxirane	322.7249542737691
CDM00001770_T109;CDM00001770_T121;CDM00001770_T127;CDM00001770_T231;CDM00001770_T777;CDM00001770_T200:19-nor-1,25-(OH)2D2	322.70640753219504
CDM00014724_T109;CDM00014724_T121;CDM00014724_T220;CDM00014724_T777:cinacalcet	322.69435882027517
CDM00016526_T116;CDM00016526_T121;CDM00016526_T129;CDM00016526_T231:Erythropoiesis-stimulating_Agent	322.6639886222268
CD00078941_T109;CD00078941_T121:Hydrochloride,_Sevelamer	322.65895860305056
CDM00015222_T116;CDM00015222_T121;CDM00015222_T129;CDM00015222_T231;CDM00015222_T777:5G1.1	322.60952326543236
CD00005727_T109;CD00005727_T121:8-methoxy-6-nitrophenanthro(3,4-d)-1,3-dioxole-5-carboxylic_acid	322.5811951811616
CD00014329_T121;CD00014329_T130:99m-DTPA,_Tc	322.4919773662027
CD00350965_T232;CD00350965_T777:inulin	322.4085516603405
CDM00000772_T109;CDM00000772_T121;CDM00000772_T130;CDM00000772_T231;CDM00000772_T777:4-aminohippuric_acid	322.4041031302297
CD00017124_T129:Antibodies,_Antineutrophil_Cytoplasmic	322.3619647485354
CD00355863_T550:Creatinine	322.32376704470397
CDM00003353_T109;CDM00003353_T121;CDM00003353_T242;CDM00003353_T777:6-Heptenoic_acid,_7-(4-(4-fluorophenyl)-5-(methoxymethyl)-2,6-bis(1-methylethyl)-3-pyridinyl)-3,5-dihydroxy-,_monosodium_salt,_(S-(R*,S*-(E)))-	322.314789392687
CDM00003337_T121:Angiotensin_2_Receptor_Blocker	322.30134095308256
CD00350990_T220;CD00350990_T777:Exypaque	322.29936049647006
CDM00001816_T109;CDM00001816_T121;CDM00001816_T231;CDM00001816_T777:1,3-Diazaspiro(4.4)non-1-en-4-one,_2-butyl-3-((2'-(1H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)-	322.28040807950947
CDM00001614_T109;CDM00001614_T121;CDM00001614_T777;CDM00001614_T231:kayexalate	322.2735378898558
CDM00000103_T121;CDM00000103_T777:ACE_INHIB	322.1462445323931
CD00163118_T121;CD00163118_T777:Calcineurin_Antagonists	322.1208258115025
