target	fet_p_value_and_ratio
CD00057963_T200:coughing_syrups	323.0051853474518
CD00037518_T121;CD00037518_T197:isotonic_sodium_chloride	322.9958678532728
CD00209743_T109;CD00209743_T121;CD00209743_T220:(3-Carbamoyl-3,3-diphenylpropyl)ethyldimethylammonium	322.96303889673226
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.9082753344437
CD00355675_T220:(13C)urea	322.8882352314981
CD00028057_T121:Agents,_Antiasthmatic	322.88521003037505
CDM00001723_T109;CDM00001723_T121;CDM00001723_T220;CDM00001723_T777:7-((hydroxybis(2-thienyl)acetyl)oxy)-9,9-dimethyl-3-oxa-9-azoniatricyclo(3.3.1.0(2,4))nonane_bromide	322.8825671583749
CD00229728_T109;CD00229728_T121;CD00229728_T220:4-{(1R)-2-[(6-{2-[(2,6-dichlorobenzyl)oxy]ethoxy}hexyl)amino]-1-hydroxyethyl}-2-(hydroxymethyl)phenol	322.86913872958974
CD00304249_T116;CD00304249_T121;CD00304249_T129;CD00304249_T231:dupilumab	322.8446991617267
CDM00003349_T109;CDM00003349_T121;CDM00003349_T220;CDM00003349_T777:11-(3-(dimethylamino)propylidene)-6,11-dihydrodibenz(b,e)oxepin-2-acetic_acid	322.8344891202828
CDM00003765_T116;CDM00003765_T121;CDM00003765_T129;CDM00003765_T231;CDM00003765_T777:anti-RSV	322.8136519043144
CDM00003246_T109;CDM00003246_T121;CDM00003246_T231;CDM00003246_T777:4-(5-Cyclopentyloxycarbonylamino-1-methyl-1H-indol-3-ylmethyl)-3-methoxy-N-O-tolylsulfonylbenzamide	322.8112438574489
CD00100985_T116;CD00100985_T121;CD00100985_T129;CD00100985_T231:mepolizumab	322.80719224694826
CDM00007434_T109;CDM00007434_T121;CDM00007434_T123;CDM00007434_T231;CDM00007434_T777:Alvesco	322.8050558475287
CDM00022921_T109;CDM00022921_T121;CDM00022921_T234:Glycopyrrolate_cation	322.79820387537774
CD00100255_T109;CD00100255_T121;CD00100255_T220;CD00100255_T777:3-cyclopropylmethoxy-4-difluoromethoxy-N-(3,5-di-chloropyrid-4-yl)benzamide	322.7927132904311
CDM00003722_T109;CDM00003722_T121;CDM00003722_T777:ANTAG_LEUKOTRIENE	322.7918166426439
CDM00007437_T109;CDM00007437_T121;CDM00007437_T231;CDM00007437_T777:Cymeval	322.78318370415957
CDM00000163_T109;CDM00000163_T121;CDM00000163_T125;CDM00000163_T777;CDM00000163_T231:(11beta,16beta)-9-Chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione	322.77619869843784
CD00087930_T109;CD00087930_T121:4H-Pyrano[3,2-g]quinoline-2,8-dicarboxylic_Acid,_9-ethyl-6,9-dihydro-4,6-dioxo-10-propyl-,_Disodium_Salt	322.77078386036214
CD00125562_T109;CD00125562_T121;CD00125562_T240:Balsam_of_Peru	322.76981151793694
CD00000835_T109;CD00000835_T121;CD00000835_T231;CD00000835_T777:2-Heptenoic_acid,_7-((2-amino-2-carboxyethyl)thio)-2-(((2,2-dimethylcyclopropyl)carbonyl)amino)-,_(R-(R*,S*-(Z)))-	322.76668612506353
CD00301706_T121:DIRECT_ACTING_ANTIVIRALS	322.76014247359234
CDM00001346_T109;CDM00001346_T121;CDM00001346_T231;CDM00001346_T777:8-(4_(4-phenylbutoxy)benzoyl)amino-2-(tetrazol-5'-yl)-4-oxo-4H-1-benzopyran	322.7570914269756
CDM00010536_T129;CDM00010536_T220;CDM00010536_T121:American_house_dust_mite	322.75546300711125
CDM00001186_T109;CDM00001186_T121;CDM00001186_T231;CDM00001186_T777:1-Methyl-4-hydroxypiperidine_benzhydryl_ether	322.75361718206665
CDM00001079_T109;CDM00001079_T121;CDM00001079_T220;CDM00001079_T777:1(2H)-Phthalazinone,_4-((4-Chlorophenyl)methyl)-2-(hexahydro-1-methyl-1H-azepin-4-yl)-,_Monohydrochloride	322.7535675159373
CDM00010537_T129;CDM00010537_T220;CDM00010537_T121:AE-mite,_dermatophagoides_pteronyssinus	322.7513237715577
CDM00007729_T109;CDM00007729_T121;CDM00007729_T231;CDM00007729_T777:arformoterol	322.7502124000658
CDM00020003_T109;CDM00020003_T121;CDM00020003_T231;CDM00020003_T777:BMS-790052	322.74719979735784
CDM00001247_T116;CDM00001247_T121;CDM00001247_T129;CDM00001247_T231;CDM00001247_T109:h_big	322.7467600554939
