target	fet_p_value_and_ratio
CDM00023884_T109;CDM00023884_T121;CDM00023884_T220;CDM00023884_T777:entresto	322.8976141513761
CDM00001544_T109;CDM00001544_T121;CDM00001544_T236;CDM00001544_T777:(+-)-2'-[2-(1-Methyl-2-piperidyl)ethyl]-P-anisanilide	322.74097255355633
CDM00000049_T121;CDM00000049_T777:ALDOSTERONE_ANTAG	322.68296605271786
CDM00001103_T116;CDM00001103_T121;CDM00001103_T125;CDM00001103_T231;CDM00001103_T777:1,2-Dithia-5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50-hexadecaazacyclotripentacontane,_Cyclic_Peptide_Derivative	322.6642872416989
CDM00001763_T109;CDM00001763_T121;CDM00001763_T231;CDM00001763_T777;CDM00001763_T550:((4-(1,4,5,6-tetrahydro-4-methyl-6-oxo-3-pyridazinyl)phenyl)hydrazono)propanedinitrile	322.6626260745599
CD00008166_T109;CD00008166_T121:Ergometrine_Maleate	322.6583978612271
CDM00001597_T109;CDM00001597_T121;CDM00001597_T231;CDM00001597_T777:2H-Imidazol-2-one,_1,3-dihydro-4-methyl-5-(4-(methylthio)benzoyl)-	322.6374985751776
CD00027373_T109;CD00027373_T121;CD00027373_T220;CD00027373_T777:3-[3-({[(7S)-3,4-dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl]methyl}(methyl)amino)propyl]-7,8-dimethoxy-2,3,4,5-tetrahydro-1H-3-benzazepin-2-one	322.63666704777046
CD00124838_T109;CD00124838_T121;CD00124838_T220:7-chloro-5-hydroxy-1-(2-methyl-4-(2-methylbenzoylamino)benzoyl)2,3,4,5-tetrahydro-1H-1-benzazepine	322.63279944325217
CDM00001115_T109;CDM00001115_T121;CDM00001115_T231;CDM00001115_T777:(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol	322.63214802176407
CDM00001594_T109;CDM00001594_T121;CDM00001594_T231;CDM00001594_T777:1-(4-methanesulfonamidophenoxy)-2-(N-(4-methanesulfonamidophenethyl)-N-methylamine)ethane	322.5971608594363
CDM00016905_T109;CDM00016905_T121;CDM00016905_T220;CDM00016905_T777:1H-Pyrazolo(3,4-c)pyridine-3-carboxamide,_4,5,6,7-tetrahydro-1-(4-methoxyphenyl)-7-oxo-6-(4-(2-oxo-1-piperidinyl)phenyl)-	322.5947983575325
CDM00000472_T109;CDM00000472_T121;CDM00000472_T242;CDM00000472_T777:acetate_flecainide	322.5926226746294
CD00236826_T109;CD00236826_T121;CD00236826_T220;CD00236826_T777:edoxaban	322.5821851467776
CDM00003740_T109;CDM00003740_T121;CDM00003740_T220;CDM00003740_T777:9,11alpha-Epoxy-17-hydroxy-3-oxo-17alpha-pregn-4-ene-7alpha,21-dicarboxylic_acid,_gamma-lactone,_Methyl_Ester	322.5710331661253
CD00202979_T109;CD00202979_T121;CD00202979_T777:dabigatran	322.5671100617179
CDM00001425_T109;CDM00001425_T121;CDM00001425_T231;CDM00001425_T777:1-Piperazineacetamide,_N-(2,6-dimethylphenyl)-4-(2-hydroxy-_3-(2-methoxyphenoxy)propyl)-	322.56172346166954
CDM00002543_T121;CDM00002543_T777;CDM00002543_T109:[CV702]_LOOP_DIURETICS	322.54632822321435
CD00000087_T109;CD00000087_T121:(1Alpha,3Alpha,6Alpha,14Alpha,15Alpha,16Beta)-20-Ethyl-1,6,16-Trimethoxy-4-(Methoxymethyl)Aconitane-3,8,13,14,15-Pentol_8-Acetate_14-Benzoate	322.5457592572722
CDM00000853_T109;CDM00000853_T121;CDM00000853_T220;CDM00000853_T777:1-(2-(2-Hydroxy-3-(propylamino)propoxy)phenyl)-3-phenyl-1-propanone	322.53778647308206
CDM00015254_T109;CDM00015254_T121;CDM00015254_T220;CDM00015254_T777:dabigatran_etexilate	322.5291621830312
CDM00000426_T109;CDM00000426_T121;CDM00000426_T220;CDM00000426_T777:(6aR,9R)-7-Methyl-4,6,6a,7,8,9-hexahydro-indolo[4,3-fg]quinoline-9-carboxylic_acid_((S)-2-hydroxy-1-methyl-ethyl)-amide	322.5266415743234
CD00149183_T109;CD00149183_T121;CD00149183_T130;CD00149183_T220:Tetrofosmin	322.5027336208506
CDM00001096_T109;CDM00001096_T121;CDM00001096_T220;CDM00001096_T777;CDM00001096_T131:(+-)-1-((alpha-(2-Isopropoxyethoxy)-P-tolyl)oxy)-3-(isopropylamino)-2-propanol	322.48972883318135
