target	fet_p_value_and_ratio
CD00057963_T200:coughing_syrups	323.0051853474518
CD00002116_T109;CD00002116_T195;CD00002116_T231;CD00002116_T777:2,6_dimethoxyphenylpenicillin	322.849294915159
CD00030168_T109;CD00030168_T121;CD00030168_T231:5-methyl-1-phenyl-2-(1H)-pyridone	322.80036993713423
CDM00001243_T109;CDM00001243_T195;CDM00001243_T231;CDM00001243_T777:1-N-((S)-4-amino-2-hydroxybutyryl)dibekacin	322.8000022198784
CD00229157_T109;CD00229157_T121;CD00229157_T220:Intedanib	322.7639940534203
CDM00009135_T109;CDM00009135_T195;CDM00009135_T231;CDM00009135_T121:ceftobiprole	322.7297094562602
CDM00017440_T109;CDM00017440_T195;CDM00017440_T231:(6R,7R)-7-[(2Z)-2-ethoxyimino-2-[5-(phosphonoamino)-1,2,4-thiadiazol-3-yl]acetyl]amino]-3-[4-(1-methylpyridin-1-ium-4-yl)-1,3-thiazol-2-yl]sulfanyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	322.72591087581657
CD00018112_T109;CD00018112_T121:Curosurf	322.6693932455286
CD00158926_T116;CD00158926_T195;CD00158926_T220:(1S,2R,18R,19R,22S,25R,28R,40S)-22-(2-amino-2-oxoethyl)-5,15-dichloro-48-{[(2S,3R,4S,5S,6R)-3-{[(2S,4S,5S,6S)-4-{[2-(decylamino)ethyl]amino}-5-hydroxy-4,6-dimethyltetrahydro-2H-pyran-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]oxy}-2	322.66582856492556
CDM00001545_T109;CDM00001545_T195;CDM00001545_T234;CDM00001545_T777;CDM00001545_T121:9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3-_[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl]_oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic_acid	322.59636149457384
CDM00007454_T116;CDM00007454_T195;CDM00007454_T777;CDM00007454_T231:Cubicin	322.49584265613584
CDM00003755_T109;CDM00003755_T121;CDM00003755_T231;CDM00003755_T777:Linezlid	322.45014636299646
CDM00001626_T109;CDM00001626_T121;CDM00001626_T129:meningococcal	322.4271031678657
CDM00000760_T109;CDM00000760_T195;CDM00000760_T231;CDM00000760_T777:(2S,5R,6R)-3,3-Dimethyl-6-{[(5-methyl-3-phenylisoxazol-4-yl)carbonyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic_acid	322.39805430372394
CD00355738_T231:Cranberry	322.3980497882426
CDM00003765_T116;CDM00003765_T121;CDM00003765_T129;CDM00003765_T231;CDM00003765_T777:anti-RSV	322.3755492583925
CDM00000997_T116;CDM00000997_T195;CDM00000997_T220;CDM00000997_T777;CDM00000997_T109:(1S,2R,18R,22S,25R,28R,40S)-22-(2-amino-2-Oxoethyl)-48-[2-O-(3-amino-2,3,6-trideoxy-3-methyl-alpha-L-lyxo-hexopyranosyl)-beta-D-glucopyranosyloxy]-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[(N-methyl-D-leucyl)amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentaazaoctacyclo[26.14.2.2(3,6).2(14,17).1(8,12).1(29,33).0(10,25).0(34,39)]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34,36,38,46,49-pentadecaene-40-carboxylic_acid	322.335953791692
CDM00000385_T109;CDM00000385_T121;CDM00000385_T220;CDM00000385_T777:Acid,_meso-Dimercaptosuccinic	322.3264990499888
CDM00003346_T121;CDM00003346_T200:dalfopristin_/_quinupristin	322.32581089917915
CD00076068_T116;CD00076068_T195;CD00076068_T220;CD00076068_T777:5delta-(3-quinuclidinyl)thiomethylpristinamycin_IA	322.31843792561494
CD00076070_T116;CD00076070_T195;CD00076070_T220;CD00076070_T777:26-(2-diethylaminoethyl)sulfonylpristamycin_IIB	322.31809212283616
CD00061841_T121;CD00061841_T129;CD00061841_T777:meningococcal,_unknown_serogroups	322.305388902368
CDM00001660_T116;CDM00001660_T195;CDM00001660_T777;CDM00001660_T231;CDM00001660_T121:Antibiotic_8327A	322.2906681743599
CDM00000498_T109;CDM00000498_T195;CDM00000498_T220;CDM00000498_T777;CDM00000498_T121:(-)-(1R,2S)-(1,2-Epoxypropyl)phosphonic_acid	322.2623370739663
CDM00000186_T116;CDM00000186_T195;CDM00000186_T231;CDM00000186_T777;CDM00000186_T121:Blanoxan	322.25811046165023
