target	fet_p_value_and_ratio
CD00213276_T109;CD00213276_T121:Hexadecanoic_Acid,_3-(2-(4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-2-methyl-4-oxo-4H-pyrido(1,2-a)pyrimidin-9-yl_Ester	322.87647557862414
CDM00001829_T109;CDM00001829_T121;CDM00001829_T777;CDM00001829_T242:1H-pyrido(4,3-b)indol-1-one,_2,3,4,5-tetrahydro-5-methyl-2-((5-methyl-1H-imidazol-4-yl)methyl)-	322.86205360601747
CDM00022587_T109;CDM00022587_T121;CDM00022587_T231;CDM00022587_T777:1-(2-(2,4-dimethylphenylsulfanyl)phenyl)piperazine	322.84352380381875
CD00302072_T121;CD00302072_T777:Other_antipsychotics	322.78143477348044
CD00198648_T116;CD00198648_T121;CD00198648_T220:[9-L-tyrosine]heat-stable_enterotoxin_(Escherichia_coli)-(6-19)-peptide	322.7805436976513
CDM00001806_T109;CDM00001806_T121;CDM00001806_T231;CDM00001806_T777:3-Acetamido-1-propanesulfonic_acid	322.77912011343426
CDM00000903_T109;CDM00000903_T121;CDM00000903_T240;CDM00000903_T777:Dermazin	322.7553495072201
CD00302090_T121;CD00302090_T777:Other_antidepressants	322.7276604318694
CDM00001720_T109;CDM00001720_T121;CDM00001720_T220;CDM00001720_T777:3-(2-(4-(6-fluoro-3-(1,2-benzisoxazolyl))-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-9-hydroxy-2-methyl-4H-pyrido(1,2-a)pyrimidin-4-one	322.7223017031522
CDM00001771_T109;CDM00001771_T121;CDM00001771_T777;CDM00001771_T231:agomelatine	322.71847404921095
CDM00015243_T109;CDM00015243_T121;CDM00015243_T231;CDM00015243_T777:ramelteon	322.71126343978597
CDM00001574_T109;CDM00001574_T121;CDM00001574_T231;CDM00001574_T777:4-Amino-N-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-2-methoxybenzamide	322.69119037462343
CD00000303_T121;CD00000303_T777:Agents,_Antidepressive	322.6887661686032
CDM00003367_T109;CDM00003367_T121;CDM00003367_T236;CDM00003367_T777:1-(((5-Methoxyindol-3-yl)methylene)amino)-3-pentylguanidine	322.66589085169255
CDM00001493_T109;CDM00001493_T121;CDM00001493_T220;CDM00001493_T777:1-(2-(dimethylamino)-1-(4-methoxyphenyl)ethyl)cyclohexanol	322.648691445979
CDM00003252_T109;CDM00003252_T121;CDM00003252_T777;CDM00003252_T220:2H-Indol-2-one,_5-(2-(4-(1,2-benzisothiazol-3-yl)-1-piperazinyl)ethyl)-6-chloro-1,3-dihydro-	322.64605697312675
CDM00001532_T109;CDM00001532_T121;CDM00001532_T236;CDM00001532_T777:1-(2-(4-(5-chloro-1-(4-fluorophenyl)-1H-indol-3-yl)-1-piperidinyl)ethyl)-2-imidazolidinone	322.6307264346293
CDM00001420_T109;CDM00001420_T121;CDM00001420_T231;CDM00001420_T777:4H-Pyrido(1,2-a)pyrimidin-4-one,_3-(2-(4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl)ethyl)-6_,7,8,9-tetrahydro-2-methyl-	322.62760385774413
CDM00001437_T109;CDM00001437_T121;CDM00001437_T220;CDM00001437_T777:1-Naphthalenamine,1,2,3,4-tetrahydro-4-(3,4-dichlorophenyl)-N-methyl-,_(1S-cis)-	322.6269314222478
CDM00000029_T114;CDM00000029_T121;CDM00000029_T220;CDM00000029_T777:2-Amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-6H-purin-6-one	322.6263716992615
CDM00001670_T121;CDM00001670_T777:5_HT_UPTAKE_INHIB	322.6258496281895
CDM00001038_T109;CDM00001038_T121;CDM00001038_T220;CDM00001038_T777:1,2,3,4,10,14b-Hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)benzazepine	322.6226682688901
CDM00001695_T109;CDM00001695_T121;CDM00001695_T231;CDM00001695_T777:2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno(2,3-b)(1,5)benzodiazepine	322.6172516192487
CDM00009131_T109;CDM00009131_T121;CDM00009131_T231;CDM00009131_T777:5-Isobenzofurancarbonitrile,_1-(3-(dimethylamino)propyl)-1-(4-fluorophenyl)-1,3-dihydro-,(1S)-,_ethanedioate(1:1)	322.61723961712426
CDM00000312_T109;CDM00000312_T121;CDM00000312_T220;CDM00000312_T777:5H-Dibenzo(b,e)(1,4)diazepine,_8-chloro-11-(4-methyl-1-piperazinyl)-	322.6101933411612
CDM00001334_T109;CDM00001334_T121;CDM00001334_T242;CDM00001334_T777:1-(3-(4-(m-Chlorophenyl)-1-piperazinyl)propyl)-3-ethyl-4-(2-phenoxyethyl)-delta2-1,2,4-triazolin-5-one	322.60819392557534
CDM00001757_T109;CDM00001757_T121;CDM00001757_T220;CDM00001757_T777:(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine	322.5906460769603
