target	fet_p_value_and_ratio
CD00057963_T200:coughing_syrups	323.0051853474518
CD00011394_T109;CD00011394_T121:oxotremorine_M	323.0051853474518
CDM00001852_T121;CDM00001852_T129;CDM00001852_T231;CDM00001852_T116:fever_vaccines_yellow	323.0051853474518
CDM00000646_T109;CDM00000646_T121;CDM00000646_T220;CDM00000646_T777:2-((2,3-Dimethylphenyl)amino)benzoic_Acid	322.9461996203125
CD00315725_T109;CD00315725_T121;CD00315725_T231;CD00315725_T777:5H-benzo(b)carbazole-3-carbonitrile,_9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-	322.92305426647533
CD00004373_T109;CD00004373_T121;CD00004373_T330:3-cresol	322.90560879022684
CDM00022993_T109;CDM00022993_T121;CDM00022993_T220;CDM00022993_T777:2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-_isopropylsulfonyl)phenyl)_pyrimidine-2,4-diamine	322.90486908575184
CDM00024450_T109;CDM00024450_T121;CDM00024450_T220;CDM00024450_T777:mereletinib	322.9045948507054
CD00355675_T220:(13C)urea	322.8882352314981
CD00003639_T109;CD00003639_T121;CD00003639_T550:1-(3-chlorophenyl)piperazine	322.878579451476
CDM00020509_T109;CDM00020509_T121;CDM00020509_T220;CDM00020509_T777:2-Pyridinamine,_3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-	322.8727429746893
CD00002782_T109;CD00002782_T121;CD00002782_T123;CD00002782_T777:alveolar_surfactant	322.8533852200445
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.8390023770564
CD00016063_T109;CD00016063_T121;CD00016063_T231:CGDP-II	322.8384651212888
CDM00001735_T109;CDM00001735_T121;CDM00001735_T231;CDM00001735_T777:2-(1-azabicyclo(2.2.2)oct-3-yl)-2,3,3a,4,5,6-hexahydro-1H-benz(de)isoquinolin-1-one	322.83593918667805
CDM00001723_T109;CDM00001723_T121;CDM00001723_T220;CDM00001723_T777:7-((hydroxybis(2-thienyl)acetyl)oxy)-9,9-dimethyl-3-oxa-9-azoniatricyclo(3.3.1.0(2,4))nonane_bromide	322.83586949074277
CDM00000565_T109;CDM00000565_T121;CDM00000565_T220;CDM00000565_T777:2H-1,3,2-Oxazaphosphorin-2-amine,_N,3-bis(2-chloroethyl)tetrahydro-,_2-oxide	322.8173629579729
CDM00003765_T116;CDM00003765_T121;CDM00003765_T129;CDM00003765_T231;CDM00003765_T777:anti-RSV	322.8136519043144
