	fet_p_value_and_ratio
CD00301980_T121;CD00301980_T777:Anti-dementia_Drugs	323.0051853474518
CD00304249_T116;CD00304249_T121;CD00304249_T129;CD00304249_T231:dupilumab	322.8446991617267
CDM00003349_T109;CDM00003349_T121;CDM00003349_T220;CDM00003349_T777:11-(3-(dimethylamino)propylidene)-6,11-dihydrodibenz(b,e)oxepin-2-acetic_acid	322.8344891202828
CD00125562_T109;CD00125562_T121;CD00125562_T240:Balsam_of_Peru	322.8278034649146
CD00004806_T109;CD00004806_T121:5-chloro-2-methyl-4-isothiazolin-3-one	322.7687276440768
CDM00010536_T129;CDM00010536_T220;CDM00010536_T121:American_house_dust_mite	322.75546300711125
CDM00001186_T109;CDM00001186_T121;CDM00001186_T231;CDM00001186_T777:1-Methyl-4-hydroxypiperidine_benzhydryl_ether	322.75361718206665
CDM00001079_T109;CDM00001079_T121;CDM00001079_T220;CDM00001079_T777:1(2H)-Phthalazinone,_4-((4-Chlorophenyl)methyl)-2-(hexahydro-1-methyl-1H-azepin-4-yl)-,_Monohydrochloride	322.7535675159373
CDM00010537_T129;CDM00010537_T220;CDM00010537_T121:AE-mite,_dermatophagoides_pteronyssinus	322.7513237715577
CDM00007392_T109;CDM00007392_T121:Artemisia_absinthium_homeopathic_preparation	322.73588107133116
CD00356080_T777:Allergens	322.73036797720806
CD00004166_T109;CD00004166_T121:2-Methyl-3(2H)-isothiazolone	322.72172471537635
CD00037392_T121;CD00037392_T130;CD00037392_T777:allergen_extract	322.713153009493
CD00000746_T121:affecting_cns_drugs	322.7073423986982
CD00157171_T129:Poison_ivy_antigen	322.69668878710246
CDM00006819_T109;CDM00006819_T121;CDM00006819_T777;CDM00006819_T231:15,19-Epoxy-3H-pyrido(2,1-c)(1,4)oxaazacyclotricosine-1,7,20,21(4H,23H)-tetrone,_3-((1E)-2-((1R,3R,4S)-4-chloro-3-methoxycyclohexyl)-1-methylethenyl)-8-ethyl-5,6,8,11,12,13,14,15,16,17,18,19,24,25,26,26a-hexadecahydro-5,19-dihydroxy-14,16-dimethoxy-4,10,12,18-tetramethyl-,(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-	322.6951072228104
CD00004613_T109;CD00004613_T121:4-HNE_cpd	322.6909724426602
CDM00008115_T116;CDM00008115_T121;CDM00008115_T129;CDM00008115_T130;CDM00008115_T231;CDM00008115_T109:Allergenic_extract,_grass,_timothy	322.67412185990736
CD00087629_T109;CD00087629_T121:Ambrosia_artemisiifolia_homeopathic_preparation	322.6671878568251
CD00018456_T116;CD00018456_T126;CD00018456_T129:Dermatophagoides_pteronyssinus_antigen_p_1	322.6578198877221
CDM00007436_T109;CDM00007436_T121;CDM00007436_T231;CDM00007436_T777:5H-Benzo(5,6)cyclohepta(1,2-b)pyridine,_8-chloro-6,11-dihydro-11-(4-piperidinylidene)-	322.63987221104287
CD00010990_T121;CD00010990_T131;CD00010990_T197:Nickelous_Sulfate	322.63800063693793
CDM00001418_T109;CDM00001418_T121;CDM00001418_T231;CDM00001418_T777:2_Amino_6_trifluoromethoxybenzothiazole	322.6369968660858
CDM00016336_T109;CDM00016336_T121;CDM00016336_T130;CDM00016336_T220:123I-FP-CIT	322.626443800821
CDM00001130_T109;CDM00001130_T121;CDM00001130_T220;CDM00001130_T777:(2-(4-((4-Chlorophenyl)phenylmethyl)-1-piperazinyl)ethoxy)acetic_Acid	322.60509460118766
CD00008823_T116;CD00008823_T121;CD00008823_T222:Bis(gamma-Glutamyl-L-cysteinylglycine)_Disulfide	322.59713845802037
CDM00003744_T109;CDM00003744_T121;CDM00003744_T231;CDM00003744_T777:713,_ENA	322.58818862305685
CDM00001022_T109;CDM00001022_T121;CDM00001022_T550:1-Piperidinyloxy,_4-Hydroxy-2,2,6,6-tetramethyl-	322.5617570718914
CD00005164_T109;CD00005164_T121;CD00005164_T550:4-hydroxy-3-methoxyacetophenone	322.5615367855657
CDM00001322_T109;CDM00001322_T121;CDM00001322_T777;CDM00001322_T240:(11beta,16alpha)-9,21-Dichloro-17-[(2-furanylcarbonyl)oxy]-11-hydroxy-16-methylpregna-1,4-diene-3,20-dione	322.5394609510459
CDM00000932_T116;CDM00000932_T121;CDM00000932_T126;CDM00000932_T109:bovine_copper-zinc_superoxide_dismutase	322.53868487595213
CD00000360_T121:antioxidants	322.49708671179275
CDM00003350_T109;CDM00003350_T121;CDM00003350_T777;CDM00003350_T220:aricept	322.4708374225726
CDM00001837_T109;CDM00001837_T121;CDM00001837_T231;CDM00001837_T777:4-(1-hydroxy-4-(4-(hydroxydiphenylmethyl)-1-piperidinyl)butyl)-alpha,alpha-dimethylbenzeneacetic_acid	322.46834532645397
CDM00000580_T116;CDM00000580_T129:B_cell_growth_factor_2	322.4655990997904
CD00008646_T109;CD00008646_T121:3,4-dihydro-3,7,8-trihydroxy-3-methyl-10-oxo-1H,_10H-pyrano(4,3-b)(1)benzopyran-9-carboxylic_acid	322.4311540797241
CDM00000610_T109;CDM00000610_T121;CDM00000610_T220;CDM00000610_T777:10H-Benzo(4,5)cyclohepta(1,2-b)thiophen-10-one,_4,9-dihydro-4-(1-methyl-4-piperidinylidene)-	322.42253839716795
CD00350947_T232:5-L-Glutamyl-L-cysteinylglycine	322.42069929532306
CDM00000652_T109;CDM00000652_T121;CDM00000652_T231;CDM00000652_T777:1,3-Dimethyl-5-adamantanamine	322.41975965158036
CD00094022_T200:tacrolimus_topical	322.405918256308
CD00356156_T777:Peroxides	322.4043354279067
CDM00000503_T109;CDM00000503_T121;CDM00000503_T220;CDM00000503_T777:6H-Benzofuro(3a,3,2-ef)(2)benzazepin-6-ol,_4a,5,9,10,11,12-hexahydro-3-methoxy-11-methyl-	322.37917802890166
CDM00001539_T109;CDM00001539_T121;CDM00001539_T242;CDM00001539_T777:1-Piperidinebutanol,_alpha-(4-(1,1-dimethylethyl)phenyl)-4-(hydroxydiphenylmethyl)-	322.37342947315614
CDM00001297_T109;CDM00001297_T121;CDM00001297_T220;CDM00001297_T777:1,24(OH)2-22-ene-24-cyclopropyl_D3	322.3723586274628
CD00016639_T109;CD00016639_T121:2h-1-benzopyran-2-carboxylic_acid,_3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-,_(+--)-	322.3688044939787
CDM00000653_T109;CDM00000653_T121;CDM00000653_T127;CDM00000653_T237;CDM00000653_T777:2-Methyl-1,4-naphthalenedione	322.3453520687875
CD00006431_T116;CD00006431_T121;CD00006431_T131;CD00006431_T550:2-Amino-4-(S-butylsulfonimidoyl)_Butanoic_Acid	322.3448945364258
CDM00000802_T109;CDM00000802_T121;CDM00000802_T122;CDM00000802_T231:Jelly,_Paraffin	322.3407035329472
CDM00003722_T109;CDM00003722_T121;CDM00003722_T777:ANTAG_LEUKOTRIENE	322.3385473380198
CDM00000327_T109;CDM00000327_T121;CDM00000327_T220;CDM00000327_T777;CDM00000327_T200;CDM00000327_T231:1,3-Bis(2-carboxychromon-5-yloxy)-2-hydroxypropane	322.33645156460506
CDM00000445_T109;CDM00000445_T121;CDM00000445_T220;CDM00000445_T777:10-[2-(Diethylamino)-1-propyl]phenothiazine	322.3315352634456
CDM00000623_T109;CDM00000623_T121;CDM00000623_T127;CDM00000623_T232;CDM00000623_T777:1,2-Dithiolane-3-pentanoic_acid	322.32392629980814
CD00001705_T121;CD00001705_T130;CD00001705_T197;CD00001705_T240;CD00001705_T777:Dihydrogen_Dioxide	322.29873080150554
CDM00001028_T109;CDM00001028_T121;CDM00001028_T130;CDM00001028_T231:123I_Labeled_3-Iodobenzylguanidine	322.2986212798519
