	fet_p_value_and_ratio
CDM00006733_T109;CDM00006733_T121:aiding_sleep	323.0051853474518
CD00001451_T109;CD00001451_T121;CD00001451_T000:Ethane,_1,1'-oxybis(2,2,2-trifluoro)-	322.94312821183547
CD00212520_T109;CD00212520_T121;CD00212520_T220:Methyl_N-[4,6-Diamino-2-[1-[(2-fluorophenyl)methyl]-1H-pyrazolo[3,4-b]pyridin-3-yl]-5-pyrimidinyl]-N-methyl-carbaminate	322.9385504389706
CDM00009137_T109;CDM00009137_T121;CDM00009137_T777;CDM00009137_T231:(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy-_1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl]_oxy]acetic_acid	322.9159272112383
CDM00001735_T109;CDM00001735_T121;CDM00001735_T231;CDM00001735_T777:2-(1-azabicyclo(2.2.2)oct-3-yl)-2,3,3a,4,5,6-hexahydro-1H-benz(de)isoquinolin-1-one	322.9070025425035
CD00091748_T109;CD00091748_T121;CD00091748_T550:3-(2-(2-(4-methylpiperidin-1-yl)ethyl)pyrrolidine-1-sulfonyl)phenol	322.90252300555466
CD00334606_T109;CD00334606_T121:Bupivacaine_Liposome_Injectable_Suspension	322.8978099007656
CD00034067_T200:diazepam_rectal	322.8963105424141
CD00002496_T109;CD00002496_T121:5H-Tetrazolo(1,5-a)azepine,_6,7,8,9-tetrahydro-	322.89061690426894
CD00005414_T109;CD00005414_T121:alpha-methyl-5-HT	322.88791405179603
CD00198696_T109;CD00198696_T121;CD00198696_T220:3-((1R,2R)-3-(dimethylamino)-1-ethyl-2-methylpropyl)phenol	322.8865560847505
CD00124847_T109;CD00124847_T121;CD00124847_T231;CD00124847_T777:2-(4,6-dimethylpyrimidin-2-yl)oxy-3-methoxy-3,3-diphenyl-propanoic_acid	322.8711669529916
CDM00001829_T109;CDM00001829_T121;CDM00001829_T777;CDM00001829_T242:1H-pyrido(4,3-b)indol-1-one,_2,3,4,5-tetrahydro-5-methyl-2-((5-methyl-1H-imidazol-4-yl)methyl)-	322.86205360601747
