	fet_p_value_and_ratio
CD00209743_T109;CD00209743_T121;CD00209743_T220:(3-Carbamoyl-3,3-diphenylpropyl)ethyldimethylammonium	322.96303889673226
CDM00007451_T109;CDM00007451_T121;CDM00007451_T231;CDM00007451_T777:1-(((3-(2-(Dimethylamino)ethyl)indol-5-yl)methyl)sulfonyl)pyrrolidine	322.9402445405188
CD00212520_T109;CD00212520_T121;CD00212520_T220:Methyl_N-[4,6-Diamino-2-[1-[(2-fluorophenyl)methyl]-1H-pyrazolo[3,4-b]pyridin-3-yl]-5-pyrimidinyl]-N-methyl-carbaminate	322.9385504389706
CD00315725_T109;CD00315725_T121;CD00315725_T231;CD00315725_T777:5H-benzo(b)carbazole-3-carbonitrile,_9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-	322.92305426647533
CDM00009137_T109;CDM00009137_T121;CDM00009137_T777;CDM00009137_T231:(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy-_1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl]_oxy]acetic_acid	322.9159272112383
CDM00001839_T109;CDM00001839_T121;CDM00001839_T220;CDM00001839_T777:1H-Indole-3-ethanamine,_N,N-dimethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-,_Monobenzoate	322.91252702759607
CDM00016600_T109;CDM00016600_T121;CDM00016600_T220;CDM00016600_T777:5-(2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1h-quinolin-2-one	322.9082753344437
CDM00016601_T116;CDM00016601_T121;CDM00016601_T129;CDM00016601_T220;CDM00016601_T777:belimumab	322.9071187572438
CDM00022993_T109;CDM00022993_T121;CDM00022993_T220;CDM00022993_T777:2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-_isopropylsulfonyl)phenyl)_pyrimidine-2,4-diamine	322.90486908575184
CDM00024450_T109;CDM00024450_T121;CDM00024450_T220;CDM00024450_T777:mereletinib	322.9045948507054
CD00334606_T109;CD00334606_T121:Bupivacaine_Liposome_Injectable_Suspension	322.8978099007656
